pos,code,book,chapter,verse,word_index
Adjective,A-NSM-N,JOH,14,6,44
Adjective,A-ASN-N,JOH,14,30,50
Adjective,A-ASN-N,JOH,15,5,74
Adjective,A-NSM-N,JOH,15,13,11
Adjective,A-NSM-N,JOH,15,24,26
Adjective,A-NSM-N,JOH,16,5,26
Adjective,A-NSM-N,JOH,16,22,62
Adjective,A-ASN-N,JOH,16,23,26
Adjective,A-ASN-N,JOH,16,24,14
Adjective,A-ASF-N,JOH,16,29,35
Adjective,A-NSM-N,JOH,17,12,59
Adjective,A-ASM-N,JOH,18,9,44
Adjective,A-ASN-N,JOH,18,20,83
Adjective,A-ASM-N,JOH,18,31,74
Adjective,A-ASF-N,JOH,18,38,59
Adjective,A-ASF-N,JOH,19,4,59
Adjective,A-ASF-N,JOH,19,11,17
Adjective,A-NSM-N,JOH,19,41,53
Adjective,A-ASN-N,JOH,21,3,80
Adjective,A-NSM-N,JOH,21,12,20
Adjective,A-DSM-N,ACT,4,12,17
Adjective,A-ASN-N,ACT,4,14,29
Adjective,A-DSM-N,ACT,4,17,56
Adjective,A-ASN-N,ACT,4,21,17
Adjective,A-NSM-N,ACT,5,13,11
Adjective,A-ASM-N,ACT,5,23,62
Adjective,A-ASN-N,ACT,5,36,86
Adjective,A-DSM-N,ACT,8,16,14
Adjective,A-NSN-N,ACT,8,24,41
Adjective,A-ASM-N,ACT,9,7,38
Adjective,A-ASM-N,ACT,9,8,38
Adjective,A-ASN-N,ACT,10,20,23
Adjective,A-ASM-N,ACT,10,28,62
Adjective,A-ASN-N,ACT,11,12,23
Adjective,A-DSM-N,ACT,11,19,56
Adjective,A-ASF-N,ACT,13,28,5
Adjective,A-ASN-N,ACT,15,9,5
Adjective,A-ASN-N,ACT,15,28,23
Adjective,A-ASN-N,ACT,16,28,23
Adjective,A-ASN-N,ACT,17,21,26
Adjective,A-NSM-N,ACT,18,10,20
Adjective,A-NSN-N,ACT,18,17,41
Adjective,A-ASN-N,ACT,19,27,62
Adjective,A-ASN-N,ACT,19,36,32
Adjective,A-GSN-N,ACT,19,40,26
Adjective,A-ASN-N,ACT,20,20,5
Adjective,A-GSM-N,ACT,20,24,5
Adjective,A-GSM-N,ACT,20,33,17
Adjective,A-NSN-N,ACT,21,24,65
Adjective,A-ASN-N,ACT,21,25,26
Adjective,A-ASN-N,ACT,23,9,44
Adjective,A-GSN-N,ACT,23,14,35
Adjective,A-DSM-N,ACT,23,22,26
Adjective,A-ASN-N,ACT,23,29,26
Adjective,A-ASM-N,ACT,24,23,35
Adjective,A-ASN-N,ACT,25,10,47
Adjective,A-NSN-N,ACT,25,11,47
Adjective,A-NSM-N,ACT,25,11,65
Adjective,A-ASF-N,ACT,25,17,17
Adjective,A-ASF-N,ACT,25,18,17
Adjective,A-ASN-N,ACT,25,25,11
Adjective,A-ASN-N,ACT,26,22,53
Adjective,A-ASN-N,ACT,26,26,56
Adjective,A-ASN-N,ACT,26,31,23
Adjective,A-NSF-N,ACT,27,22,29
Adjective,A-ASN-N,ACT,27,33,59
Adjective,A-GSM-N,ACT,27,34,38
Adjective,A-ASN-N,ACT,28,5,32
Adjective,A-ASN-N,ACT,28,6,53
Adjective,A-ASN-N,ACT,28,17,68
Adjective,A-ASF-N,ACT,28,18,23
Adjective,A-NSN-N,ROM,8,1,2
Adjective,A-DSM-N,ROM,12,17,2
Adjective,A-DSM-N,ROM,13,8,2
Adjective,A-ASN-N,ROM,13,8,5
Adjective,A-NSM-N,ROM,14,7,2
Adjective,A-NSM-N,ROM,14,7,20
Adjective,A-NSN-N,ROM,14,14,23
Adjective,A-DSN-N,1CO,1,7,17
Adjective,A-ASM-N,1CO,1,14,14
Adjective,A-NSM-N,1CO,2,8,5
Adjective,A-NSM-N,1CO,2,11,65
Adjective,A-GSM-N,1CO,2,15,29
Adjective,A-NSM-N,1CO,3,11,11
Adjective,A-NSM-N,1CO,3,18,2
Adjective,A-NSM-N,1CO,3,21,5
Adjective,A-ASN-N,1CO,4,4,2
