pos,code,info_length
Interrogative Pronoun,I-ASM,3
Interrogative Pronoun,I-ASN,3
Interrogative Pronoun,I-NSN,3
Interrogative Pronoun,I-DSM,3
Interrogative Pronoun,I-NSF,3
Interrogative Pronoun,I-NPM,3
Interrogative Pronoun,I-GPM,3
Interrogative Pronoun,I-APF,3
Interrogative Pronoun,I-DSF,3
Interrogative Pronoun,I-GSM,3
Interrogative Pronoun,I-GSF,3
Interrogative Pronoun,I-APN,3
Interrogative Pronoun,I-NPN,3
Interrogative Pronoun,I-ASF,3
Interrogative Pronoun,I-GSN,3
Interrogative Pronoun,I-GPN,3
Interrogative Pronoun,I-DPM,3
Noun,N-OI,2
Noun,N-LI,2
Noun,N-NSF,3
Noun,N-GSF,3
Noun,N-GSM,3
Noun,N-PRI,3
Noun,N-ASM,3
Noun,N-APM,3
Noun,N-NSM,3
Noun,N-ASF,3
Noun,N-NPF,3
Noun,N-DSF,3
Noun,N-GSN,3
Noun,N-ASN,3
Noun,N-GPF,3
Noun,N-DPF,3
Noun,N-NPM,3
Noun,N-APN,3
Noun,N-VSF,3
Noun,N-DPM,3
Noun,N-NSN,3
Noun,N-GPM,3
Noun,N-DPN,3
Noun,N-APF,3
Noun,N-DSM,3
Noun,N-VPN,3
Noun,N-GPN,3
Noun,N-DSN,3
Noun,N-VSM,3
Noun,N-NPN,3
Noun,N-VSN,3
Noun,N-VPM,3
Noun,N-VPF,3
Noun,N-ASF-S,4
Noun,N-APF-S,4
Noun,N-DPM-S,4
Noun,N-ASM-S,4
Noun,N-APN-S,4
Noun,N-NSM-C,4
Noun,N-NPM-S,4
Particle,PRT,0
Particle,PRT-N,1
Particle,PRT-I,1
Personal Pronoun,P-GSM,3
Personal Pronoun,P-APM,3
Personal Pronoun,P-GSF,3
Personal Pronoun,P-ASF,3
Personal Pronoun,P-DSM,3
Personal Pronoun,P-2GS,3
Personal Pronoun,P-DSF,3
Personal Pronoun,P-NSM,3
Personal Pronoun,P-GPM,3
Personal Pronoun,P-1GP,3
Personal Pronoun,P-2NS,3
Personal Pronoun,P-1GS,3
Personal Pronoun,P-1DS,3
Personal Pronoun,P-GSN,3
Personal Pronoun,P-2DS,3
Personal Pronoun,P-ASN,3
Personal Pronoun,P-ASM,3
Personal Pronoun,P-DPM,3
Personal Pronoun,P-2DP,3
Personal Pronoun,P-1NS,3
Personal Pronoun,P-2AP,3
Personal Pronoun,P-1AS,3
Personal Pronoun,P-1DP,3
Personal Pronoun,P-2AS,3
Personal Pronoun,P-GPF,3
Personal Pronoun,P-NPM,3
Personal Pronoun,P-2GP,3
Personal Pronoun,P-2NP,3
Personal Pronoun,P-1NP,3
Personal Pronoun,P-1AP,3
Personal Pronoun,P-APN,3
Personal Pronoun,P-GPN,3
Personal Pronoun,P-DPN,3
Personal Pronoun,P-DSN,3
Personal Pronoun,P-DPF,3
Personal Pronoun,P-APF,3
Personal Pronoun,P-NSF,3
Personal Pronoun,P-NSN,3
Personal Pronoun,P-NPN,3
Personal Pronoun,P-1NS-K,4
Personal Pronoun,P-1DS-K,4
Personal Pronoun,P-1AS-K,4
Possessive Pronoun,S-2SDSM,5
Possessive Pronoun,S-2SDSN,5
Possessive Pronoun,S-1SASN,5
Possessive Pronoun,S-2SASN,5
Possessive Pronoun,S-1SDPN,5
Possessive Pronoun,S-1SNSN,5
Possessive Pronoun,S-2SGSF,5
Possessive Pronoun,S-2SNPM,5
Possessive Pronoun,S-2SAPM,5
Possessive Pronoun,S-1SAPM,5
Possessive Pronoun,S-2PNSF,5
Possessive Pronoun,S-2SAPN,5
Possessive Pronoun,S-1SNPN,5
Possessive Pronoun,S-2SNPN,5
Possessive Pronoun,S-2PASN,5
Possessive Pronoun,S-1SASF,5
Possessive Pronoun,S-2SNSN,5
Possessive Pronoun,S-1SNSF,5
Possessive Pronoun,S-2SASF,5
