id,std_poly_form,std_poly_LC,str_num_1,str_num_2,str_num_3
147,σώσει,σώσει,4982,,
148,λαόν,λαόν,2992,,
149,τῶν,τῶν,3588,,
150,ἁμαρτιῶν,ἁμαρτιῶν,266,,
151,αὐτῶν,αὐτῶν,846,,
152,τοῦτο,τοῦτο,3778,,
153,ὅλον,ὅλον,3650,,
154,γέγονεν,γέγονεν,1096,,
155,ἵνα,ἵνα,2443,,
156,πληρωθῇ,πληρωθῇ,4137,,
157,ῥηθέν,ῥηθέν,2046,,
158,ὑπό,ὑπό,5259,,
159,διά,διά,1223,,
160,προφήτου,προφήτου,4396,,
161,λέγοντος,λέγοντος,3004,,
162,παρθένος,παρθένος,3933,,
163,ἕξει,ἕξει,2192,,
164,καλέσουσιν,καλέσουσιν,2564,,
165,Ἐμμανουήλ,ἐμμανουήλ,1694,,
166,ὅ,ὅ,3739,3588.0,
167,μεθερμηνευόμενον,μεθερμηνευόμενον,3177,,
168,μεθ,μεθ,3326,,
169,ἡμῶν,ἡμῶν,1473,,
170,θεός,θεός,2316,,
171,διεγερθείς,διεγερθείς,1326,,
172,ὕπνου,ὕπνου,5258,,
173,ἐποίησεν,ἐποίησεν,4160,,
174,ὡς,ὡς,5613,,
175,προσέταξεν,προσέταξεν,4367,,
176,παρέλαβεν,παρέλαβεν,3880,,
177,γυναῖκα,γυναῖκα,1135,,
178,οὐκ,οὐκ,3756,,
179,ἐγίνωσκεν,ἐγίνωσκεν,1097,,
180,οὗ,οὗ,3739,3757.0,
181,ἔτεκεν,ἔτεκεν,5088,,
182,πρωτότοκον,πρωτότοκον,4416,,
183,ἐκάλεσεν,ἐκάλεσεν,2564,,
184,γεννηθέντος,γεννηθέντος,1080,,
185,Βηθλεέμ,βηθλεέμ,965,,
186,ἰουδαίας,ἰουδαίας,2449,2453.0,
187,ἡμέραις,ἡμέραις,2250,,
188,ἡρῴδου,ἡρῴδου,2264,,
189,βασιλέως,βασιλέως,935,,
190,μάγοι,μάγοι,3097,,
191,ἀνατολῶν,ἀνατολῶν,395,,
192,παρεγένοντο,παρεγένοντο,3854,,
193,εἰς,εἰς,1519,,
194,ἱεροσόλυμα,ἱεροσόλυμα,2414,,
195,λέγοντες,λέγοντες,3004,,
196,ποῦ,ποῦ,4226,4225.0,
197,ἐστίν,ἐστίν,1510,,
198,τεχθείς,τεχθείς,5088,,
199,ἰουδαίων,ἰουδαίων,2453,,
200,εἴδομεν,εἴδομεν,3708,,
201,ἀστέρα,ἀστέρα,792,,
202,τῇ,τῇ,3588,,
203,ἀνατολῇ,ἀνατολῇ,395,,
204,ἤλθομεν,ἤλθομεν,2064,,
