id,std_poly_form,std_poly_LC,str_num_1,str_num_2,str_num_3
2210,σινάπεως,σινάπεως,4615,,
2211,λαβών,λαβών,2983,,
2212,μικρότερον,μικρότερον,3398,,
2213,σπερμάτων,σπερμάτων,4690,,
2214,αὐξηθῇ,αὐξηθῇ,837,,
2215,μεῖζον,μεῖζον,3173,,
2216,λαχάνων,λαχάνων,3001,,
2217,ἐλθεῖν,ἐλθεῖν,2064,,
2218,κατασκηνοῦν,κατασκηνοῦν,2681,,
2219,κλάδοις,κλάδοις,2798,,
2220,ζύμῃ,ζύμῃ,2219,,
2221,λαβοῦσα,λαβοῦσα,2983,,
2222,ἔκρυψεν,ἔκρυψεν,2928,,
2223,ἀλεύρου,ἀλεύρου,224,,
2224,σάτα,σάτα,4568,,
2225,τρία,τρία,5140,,
2226,ἐζυμώθη,ἐζυμώθη,2220,,
2227,χωρίς,χωρίς,5565,,
2228,παραβολῆς,παραβολῆς,3850,,
2229,ἐλάλει,ἐλάλει,2980,,
2230,ἀνοίξω,ἀνοίξω,455,,
2231,ἐρεύξομαι,ἐρεύξομαι,2044,,
2232,κεκρυμμένα,κεκρυμμένα,2928,,
2233,καταβολῆς,καταβολῆς,2602,,
2234,ἀφείς,ἀφείς,863,,
2235,φράσον,φράσον,5419,,
2236,ζιζανίων,ζιζανίων,2215,,
2237,ἀγρός,ἀγρός,68,,
2238,κόσμος,κόσμος,2889,,
2239,οὗτοί,οὗτοί,3778,,
2240,ζιζάνιά,ζιζάνιά,2215,,
2241,σπείρας,σπείρας,4687,,
2242,συντέλεια,συντέλεια,4930,,
2243,αἰῶνός,αἰῶνός,165,,
2244,θερισταί,θερισταί,2327,,
2245,ἄγγελοί,ἄγγελοί,32,,
2246,συλλέγεται,συλλέγεται,4816,,
2247,καίεται,καίεται,2545,,
2248,συντελείᾳ,συντελείᾳ,4930,,
2249,ἀποστελεῖ,ἀποστελεῖ,649,,
2250,ἀγγέλους,ἀγγέλους,32,,
2251,συλλέξουσιν,συλλέξουσιν,4816,,
2252,σκάνδαλα,σκάνδαλα,4625,,
2253,ποιοῦντας,ποιοῦντας,4160,,
2254,βαλοῦσιν,βαλοῦσιν,906,,
2255,κάμινον,κάμινον,2575,,
2256,ἐκλάμψουσιν,ἐκλάμψουσιν,1584,,
2257,ἥλιος,ἥλιος,2246,,
2258,θησαυρῷ,θησαυρῷ,2344,,
2259,κεκρυμμένῳ,κεκρυμμένῳ,2928,,
2260,ὑπάγει,ὑπάγει,5217,,
2261,πωλεῖ,πωλεῖ,4453,,
2262,ἀγοράζει,ἀγοράζει,59,,
2263,ἀγρόν,ἀγρόν,68,,
2264,ἐκεῖνον,ἐκεῖνον,1565,,
2265,ἐμπόρῳ,ἐμπόρῳ,1713,,
2266,ζητοῦντι,ζητοῦντι,2212,,
2267,πολύτιμον,πολύτιμον,4186,,
2268,μαργαρίτην,μαργαρίτην,3135,,
2269,ἀπελθών,ἀπελθών,565,,
2270,πέπρακεν,πέπρακεν,4097,,
2271,ἠγόρασεν,ἠγόρασεν,59,,
2272,σαγήνῃ,σαγήνῃ,4522,,
2273,βληθείσῃ,βληθείσῃ,906,,
2274,γένους,γένους,1085,,
2275,συναγαγούσῃ,συναγαγούσῃ,4863,,
2276,ἀναβιβάσαντες,ἀναβιβάσαντες,307,,
2277,καθίσαντες,καθίσαντες,2523,,
2278,συνέλεξαν,συνέλεξαν,4816,,
2279,ἀγγεῖα,ἀγγεῖα,30,,
2280,σαπρά,σαπρά,4550,,
2281,ἔβαλον,ἔβαλον,906,,
2282,ἐξελεύσονται,ἐξελεύσονται,1831,,
2283,ἀφοριοῦσιν,ἀφοριοῦσιν,873,,
2284,μέσου,μέσου,3319,,
2285,δικαίων,δικαίων,1342,,
2286,συνήκατε,συνήκατε,4920,,
2287,μαθητευθείς,μαθητευθείς,3100,,
2288,ὅμοιός,ὅμοιός,3664,,
2289,οἰκοδεσπότῃ,οἰκοδεσπότῃ,3617,,
2290,καινά,καινά,2537,,
2291,παλαιά,παλαιά,3820,,
2292,παραβολάς,παραβολάς,3850,,
2293,ταύτας,ταύτας,3778,,
2294,μετῆρεν,μετῆρεν,3332,,
2295,πατρίδα,πατρίδα,3968,,
2296,συναγωγῇ,συναγωγῇ,4864,,
2297,ἐκπλήττεσθαι,ἐκπλήττεσθαι,1605,,
2298,τέκτονος,τέκτονος,5045,,
2299,λέγεται,λέγεται,3004,,
2300,ἰωσῆς,ἰωσῆς,2500,,
2301,ἀδελφαί,ἀδελφαί,79,,
2302,ἐσκανδαλίζοντο,ἐσκανδαλίζοντο,4624,,
2303,προφήτης,προφήτης,4396,,
2304,ἄτιμος,ἄτιμος,820,,
2305,πατρίδι,πατρίδι,3968,,
2306,ἀπιστίαν,ἀπιστίαν,570,,
2307,ἤκουσεν,ἤκουσεν,191,,
2308,τετράρχης,τετράρχης,5076,,
2309,ἀκοήν,ἀκοήν,189,,
2310,παισίν,παισίν,3816,,
2311,νεκρῶν,νεκρῶν,3498,,
2312,ἐνεργοῦσιν,ἐνεργοῦσιν,1754,,
2313,κρατήσας,κρατήσας,2902,,
2314,ἔδησεν,ἔδησεν,1210,,
2315,ἔθετο,ἔθετο,5087,,
2316,φυλακῇ,φυλακῇ,5438,,
2317,ἡρῳδιάδα,ἡρῳδιάδα,2266,,
2318,φιλίππου,φιλίππου,5376,,
2319,ἔξεστίν,ἔξεστίν,1832,,
2320,εἶχον,εἶχον,2192,,
2321,γενεσίων,γενεσίων,1077,,
2322,ἀγομένων,ἀγομένων,71,,
2323,ὠρχήσατο,ὠρχήσατο,3738,,
2324,ἡρῳδιάδος,ἡρῳδιάδος,2266,,
2325,ἤρεσεν,ἤρεσεν,700,,
2326,ἡρῴδῃ,ἡρῴδῃ,2264,,
2327,ὅρκου,ὅρκου,3727,,
2328,ὡμολόγησεν,ὡμολόγησεν,3670,,
2329,δοῦναι,δοῦναι,1325,,
2330,αἰτήσηται,αἰτήσηται,154,,
2331,προβιβασθεῖσα,προβιβασθεῖσα,4264,,
2332,φησίν,φησίν,5346,,
2333,πίνακι,πίνακι,4094,,
2334,ἐλυπήθη,ἐλυπήθη,3076,,
2335,συνανακειμένους,συνανακειμένους,4873,,
2336,δοθῆναι,δοθῆναι,1325,,
2337,ἀπεκεφάλισεν,ἀπεκεφάλισεν,607,,
2338,ἠνέχθη,ἠνέχθη,5342,,
2339,κεφαλή,κεφαλή,2776,,
2340,ἐδόθη,ἐδόθη,1325,,
2341,κορασίῳ,κορασίῳ,2877,,
2342,ἤνεγκεν,ἤνεγκεν,5342,,
2343,μητρί,μητρί,3384,,
2344,ἦραν,ἦραν,142,,
2345,ἔθαψαν,ἔθαψαν,2290,,
2346,τόπον,τόπον,5117,,
2347,πεζῇ,πεζῇ,3979,,
2348,πόλεων,πόλεων,4172,,
2349,πολύν,πολύν,4183,,
2350,ἀρρώστους,ἀρρώστους,732,,
2351,ἔρημός,ἔρημός,2048,,
2352,τόπος,τόπος,5117,,
2353,ὥρα,ὥρα,5610,,
2354,παρῆλθεν,παρῆλθεν,3928,,
2355,ἀπόλυσον,ἀπόλυσον,630,,
2356,ἀγοράσωσιν,ἀγοράσωσιν,59,,
2357,βρώματα,βρώματα,1033,,
2358,πέντε,πέντε,4002,,
2359,ἰχθύας,ἰχθύας,2486,,
2360,φέρετέ,φέρετέ,5342,,
2361,κελεύσας,κελεύσας,2753,,
2362,ἀνακλιθῆναι,ἀνακλιθῆναι,347,,
2363,χόρτους,χόρτους,5528,,
2364,ἀναβλέψας,ἀναβλέψας,308,,
2365,οὐρανόν,οὐρανόν,3772,,
2366,εὐλόγησεν,εὐλόγησεν,2127,,
2367,κλάσας,κλάσας,2806,,
2368,ἔφαγον,ἔφαγον,5315,,
2369,ἐχορτάσθησαν,ἐχορτάσθησαν,5526,,
2370,περισσεῦον,περισσεῦον,4052,,
2371,κλασμάτων,κλασμάτων,2801,,
2372,κοφίνους,κοφίνους,2894,,
2373,πλήρεις,πλήρεις,4134,,
2374,ἐσθίοντες,ἐσθίοντες,2068,,
2375,πεντακισχίλιοι,πεντακισχίλιοι,4000,,
2376,παιδίων,παιδίων,3813,,
2377,ἠνάγκασεν,ἠνάγκασεν,315,,
2378,ἐμβῆναι,ἐμβῆναι,1684,,
2379,προάγειν,προάγειν,4254,,
2380,ἀπολύσας,ἀπολύσας,630,,
2381,προσεύξασθαι,προσεύξασθαι,4336,,
2382,μόνος,μόνος,3441,,
2383,βασανιζόμενον,βασανιζόμενον,928,,
2384,ἐναντίος,ἐναντίος,1727,,
2385,ἄνεμος,ἄνεμος,417,,
2386,τετάρτῃ,τετάρτῃ,5067,,
2387,περιπατοῦντα,περιπατοῦντα,4043,,
2388,ἐταράχθησαν,ἐταράχθησαν,5015,,
2389,φάντασμά,φάντασμά,5326,,
2390,φόβου,φόβου,5401,,
2391,θαρσεῖτε,θαρσεῖτε,2293,,
2392,κέλευσόν,κέλευσόν,2753,,
2393,ὕδατα,ὕδατα,5204,,
2394,ἐλθέ,ἐλθέ,2064,,
2395,καταβάς,καταβάς,2597,,
2396,πλοίου,πλοίου,4143,,
2397,περιεπάτησεν,περιεπάτησεν,4043,,
2398,ἄνεμον,ἄνεμον,417,,
2399,ἀρξάμενος,ἀρξάμενος,756,,
2400,καταποντίζεσθαι,καταποντίζεσθαι,2670,,
2401,ἔκραξεν,ἔκραξεν,2896,,
2402,σῶσόν,σῶσόν,4982,,
2403,ἐπελάβετο,ἐπελάβετο,1949,,
2404,ὀλιγόπιστε,ὀλιγόπιστε,3640,,
2405,ἐδίστασας,ἐδίστασας,1365,,
2406,ἐμβάντων,ἐμβάντων,1684,,
2407,ἐκόπασεν,ἐκόπασεν,2869,,
2408,ἀληθῶς,ἀληθῶς,230,,
2409,διαπεράσαντες,διαπεράσαντες,1276,,
2410,Γεννησαρέτ,γεννησαρέτ,1082,,
2411,ἐπιγνόντες,ἐπιγνόντες,1921,,
2412,τόπου,τόπου,5117,,
2413,ἀπέστειλαν,ἀπέστειλαν,649,,
2414,περίχωρον,περίχωρον,4066,,
2415,ἅψωνται,ἅψωνται,680,,
2416,ὅσοι,ὅσοι,3745,,
2417,ἥψαντο,ἥψαντο,680,,
2418,διεσώθησαν,διεσώθησαν,1295,,
2419,παραβαίνουσιν,παραβαίνουσιν,3845,,
2420,παράδοσιν,παράδοσιν,3862,,
2421,πρεσβυτέρων,πρεσβυτέρων,4245,,
2422,νίπτονται,νίπτονται,3538,,
2423,χεῖρας,χεῖρας,5495,,
2424,ἐσθίωσιν,ἐσθίωσιν,2068,,
2425,παραβαίνετε,παραβαίνετε,3845,,
2426,ἐντολήν,ἐντολήν,1785,,
2427,ἐνετείλατο,ἐνετείλατο,1781,,
2428,τίμα,τίμα,5091,,
2429,κακολογῶν,κακολογῶν,2551,,
2430,θανάτῳ,θανάτῳ,2288,,
2431,τελευτάτω,τελευτάτω,5053,,
2432,λέγετε,λέγετε,3004,,
2433,ὠφεληθῇς,ὠφεληθῇς,5623,,
2434,τιμήσῃ,τιμήσῃ,5091,,
2435,ἠκυρώσατε,ἠκυρώσατε,208,,
2436,προεφήτευσεν,προεφήτευσεν,4395,,
2437,ἠσαΐας,ἠσαΐας,2268,,
2438,ἐγγίζει,ἐγγίζει,1448,,
2439,στόματι,στόματι,4750,,
2440,χείλεσίν,χείλεσίν,5491,,
2441,τιμᾷ,τιμᾷ,5091,,
2442,πόρρω,πόρρω,4206,,
2443,ἀπέχει,ἀπέχει,568,,
2444,μάτην,μάτην,3155,,
2445,σέβονταί,σέβονταί,4576,,
2446,διδάσκοντες,διδάσκοντες,1321,,
2447,διδασκαλίας,διδασκαλίας,1319,,
2448,ἐντάλματα,ἐντάλματα,1778,,
2449,συνίετε,συνίετε,4920,,
2450,εἰσερχόμενον,εἰσερχόμενον,1525,,
2451,κοινοῖ,κοινοῖ,2840,,
2452,ἐκπορευόμενον,ἐκπορευόμενον,1607,,
2453,οἶδας,οἶδας,1492,,
2454,ἐσκανδαλίσθησαν,ἐσκανδαλίσθησαν,4624,,
2455,φυτεία,φυτεία,5451,,
2456,ἐφύτευσεν,ἐφύτευσεν,5452,,
2457,ἐκριζωθήσεται,ἐκριζωθήσεται,1610,,
2458,ὁδηγοί,ὁδηγοί,3595,,
2459,τυφλῶν,τυφλῶν,5185,,
2460,ὁδηγῇ,ὁδηγῇ,3594,,
2461,πεσοῦνται,πεσοῦνται,4098,,
2462,ἀκμήν,ἀκμήν,188,,
2463,ἀσύνετοί,ἀσύνετοί,801,,
2464,οὔπω,οὔπω,3768,,
2465,νοεῖτε,νοεῖτε,3539,,
2466,εἰσπορευόμενον,εἰσπορευόμενον,1531,,
2467,κοιλίαν,κοιλίαν,2836,,
2468,χωρεῖ,χωρεῖ,5562,,
2469,ἀφεδρῶνα,ἀφεδρῶνα,856,,
2470,ἐκβάλλεται,ἐκβάλλεται,1544,,
2471,ἐκπορευόμενα,ἐκπορευόμενα,1607,,
2472,ἐξέρχεται,ἐξέρχεται,1831,,
2473,κἀκεῖνα,κἀκεῖνα,2548,,
2474,ἐξέρχονται,ἐξέρχονται,1831,,
2475,διαλογισμοί,διαλογισμοί,1261,,
2476,φόνοι,φόνοι,5408,,
2477,μοιχεῖαι,μοιχεῖαι,3430,,
2478,πορνεῖαι,πορνεῖαι,4202,,
2479,κλοπαί,κλοπαί,2829,,
2480,ψευδομαρτυρίαι,ψευδομαρτυρίαι,5577,,
2481,βλασφημίαι,βλασφημίαι,988,,
2482,ταῦτά,ταῦτά,3778,,
2483,κοινοῦντα,κοινοῦντα,2840,,
2484,ἀνίπτοις,ἀνίπτοις,449,,
2485,χερσίν,χερσίν,5495,,
2486,τύρου,τύρου,5184,,
2487,σιδῶνος,σιδῶνος,4605,,
2488,χαναναία,χαναναία,5478,,
2489,ἐκείνων,ἐκείνων,1565,,
2490,ἐξελθοῦσα,ἐξελθοῦσα,1831,,
2491,ἐκραύγασεν,ἐκραύγασεν,2905,,
2492,ἐλέησόν,ἐλέησόν,1653,,
2493,δαιμονίζεται,δαιμονίζεται,1139,,
2494,ἀπεκρίθη,ἀπεκρίθη,611,,
2495,ἠρώτων,ἠρώτων,2065,,
2496,κράζει,κράζει,2896,,
2497,ἀπεστάλην,ἀπεστάλην,649,,
2498,ἐλθοῦσα,ἐλθοῦσα,2064,,
2499,προσεκύνησεν,προσεκύνησεν,4352,,
2500,βοήθει,βοήθει,997,,
2501,κυναρίοις,κυναρίοις,2952,,
2502,κυνάρια,κυνάρια,2952,,
2503,ψιχίων,ψιχίων,5589,,
2504,πιπτόντων,πιπτόντων,4098,,
2505,τραπέζης,τραπέζης,5132,,
2506,κυρίων,κυρίων,2962,,
2507,ὦ,ὦ,5599,1510.0,5598.0
2508,γύναι,γύναι,1135,,
2509,ἀναβάς,ἀναβάς,305,,
2510,χωλούς,χωλούς,5560,,
2511,τυφλούς,τυφλούς,5185,,
2512,κωφούς,κωφούς,2974,,
2513,κυλλούς,κυλλούς,2948,,
2514,ἑτέρους,ἑτέρους,2087,,
2515,ἔρριψαν,ἔρριψαν,4496,,
2516,πόδας,πόδας,4228,,
2517,θαυμάσαι,θαυμάσαι,2296,,
2518,βλέποντας,βλέποντας,991,,
2519,λαλοῦντας,λαλοῦντας,2980,,
2520,ὑγιεῖς,ὑγιεῖς,5199,,
2521,περιπατοῦντας,περιπατοῦντας,4043,,
2522,σπλαγχνίζομαι,σπλαγχνίζομαι,4697,,
2523,προσμένουσίν,προσμένουσίν,4357,,
2524,φάγωσιν,φάγωσιν,5315,,
2525,νήστεις,νήστεις,3523,,
2526,ἐκλυθῶσιν,ἐκλυθῶσιν,1590,,
2527,ἐρημίᾳ,ἐρημίᾳ,2047,,
2528,τοσοῦτοι,τοσοῦτοι,5118,,
2529,χορτάσαι,χορτάσαι,5526,,
2530,τοσοῦτον,τοσοῦτον,5118,,
2531,πόσους,πόσους,4214,,
2532,ὀλίγα,ὀλίγα,3641,,
2533,ἰχθύδια,ἰχθύδια,2485,,
2534,ἀναπεσεῖν,ἀναπεσεῖν,377,,
2535,εὐχαριστήσας,εὐχαριστήσας,2168,,
2536,ἔκλασεν,ἔκλασεν,2806,,
2537,ὄχλῳ,ὄχλῳ,3793,,
2538,σπυρίδας,σπυρίδας,4711,,
2539,τετρακισχίλιοι,τετρακισχίλιοι,5070,,
2540,ἐνέβη,ἐνέβη,1684,,
2541,ὅρια,ὅρια,3725,,
2542,Μαγδαλά,μαγδαλά,3093,,
2543,σαδδουκαῖοι,σαδδουκαῖοι,4523,,
2544,πειράζοντες,πειράζοντες,3985,,
2545,ἐπιδεῖξαι,ἐπιδεῖξαι,1925,,
2546,εὐδία,εὐδία,2105,,
2547,πυρράζει,πυρράζει,4449,,
2548,πρωΐ,πρωΐ,4404,,
2549,χειμών,χειμών,5494,,
2550,στυγνάζων,στυγνάζων,4768,,
2551,πρόσωπον,πρόσωπον,4383,,
2552,γινώσκετε,γινώσκετε,1097,,
2553,διακρίνειν,διακρίνειν,1252,,
2554,σημεῖα,σημεῖα,4592,,
2555,καιρῶν,καιρῶν,2540,,
2556,ἐπελάθοντο,ἐπελάθοντο,1950,,
2557,ζύμης,ζύμης,2219,,
2558,διελογίζοντο,διελογίζοντο,1260,,
2559,ἐλάβομεν,ἐλάβομεν,2983,,
2560,διαλογίζεσθε,διαλογίζεσθε,1260,,
2561,μνημονεύετε,μνημονεύετε,3421,,
2562,πεντακισχιλίων,πεντακισχιλίων,4000,,
2563,τετρακισχιλίων,τετρακισχιλίων,5070,,
2564,πόσας,πόσας,4214,,
2565,ἄρτου,ἄρτου,740,,
2566,προσέχειν,προσέχειν,4337,,
2567,συνῆκαν,συνῆκαν,4920,,
2568,διδαχῆς,διδαχῆς,1322,,
2569,καισαρείας,καισαρείας,2542,,
2570,ἠρώτα,ἠρώτα,2065,,
2571,εἶναι,εἶναι,1510,,
2572,βαπτιστήν,βαπτιστήν,910,,
2573,ἄλλοι,ἄλλοι,243,,
2574,ἠλίαν,ἠλίαν,2243,,
2575,ἕτεροι,ἕτεροι,2087,,
2576,ἰερεμίαν,ἰερεμίαν,2408,,
2577,ζῶντος,ζῶντος,2198,,
2578,μακάριος,μακάριος,3107,,
2579,Βαριωνᾶ,βαριωνᾶ,920,,
2580,σάρξ,σάρξ,4561,,
2581,αἷμα,αἷμα,129,,
2582,ἀπεκάλυψέν,ἀπεκάλυψέν,601,,
2583,πέτρᾳ,πέτρᾳ,4073,,
2584,οἰκοδομήσω,οἰκοδομήσω,3618,,
2585,ἐκκλησίαν,ἐκκλησίαν,1577,,
2586,πύλαι,πύλαι,4439,,
2587,κατισχύσουσιν,κατισχύσουσιν,2729,,
2588,κλεῖς,κλεῖς,2807,,
2589,δήσῃς,δήσῃς,1210,,
2590,δεδεμένον,δεδεμένον,1210,,
2591,λύσῃς,λύσῃς,3089,,
2592,λελυμένον,λελυμένον,3089,,
2593,διεστείλατο,διεστείλατο,1291,,
2594,δεικνύειν,δεικνύειν,1166,,
2595,δεῖ,δεῖ,1163,,
2596,παθεῖν,παθεῖν,3958,,
2597,ἀρχιερέων,ἀρχιερέων,749,,
2598,ἀποκτανθῆναι,ἀποκτανθῆναι,615,,
2599,τρίτῃ,τρίτῃ,5154,,
2600,ἐγερθῆναι,ἐγερθῆναι,1453,,
2601,προσλαβόμενος,προσλαβόμενος,4355,,
2602,ἐπιτιμᾷν,ἐπιτιμᾷν,2008,,
2603,ἵλεώς,ἵλεώς,2436,,
2604,στραφείς,στραφείς,4762,,
2605,πέτρῳ,πέτρῳ,4074,,
2606,σκάνδαλόν,σκάνδαλόν,4625,,
2607,φρονεῖς,φρονεῖς,5426,,
2608,εἴ,εἴ,1487,,
2609,θέλει,θέλει,2309,,
2610,ἀπαρνησάσθω,ἀπαρνησάσθω,533,,
2611,ἀράτω,ἀράτω,142,,
2612,ἀκολουθείτω,ἀκολουθείτω,190,,
2613,θέλῃ,θέλῃ,2309,,
2614,σῶσαι,σῶσαι,4982,,
2615,ὠφελεῖται,ὠφελεῖται,5623,,
2616,κόσμον,κόσμον,2889,,
2617,κερδήσῃ,κερδήσῃ,2770,,
2618,ζημιωθῇ,ζημιωθῇ,2210,,
2619,ἀντάλλαγμα,ἀντάλλαγμα,465,,
2620,ψυχῆς,ψυχῆς,5590,,
2621,ἀγγέλων,ἀγγέλων,32,,
2622,ἑκάστῳ,ἑκάστῳ,1538,,
2623,πρᾶξιν,πρᾶξιν,4234,,
2624,γεύσωνται,γεύσωνται,1089,,
2625,ἕξ,ἕξ,1803,,
2626,ἀναφέρει,ἀναφέρει,399,,
2627,μετεμορφώθη,μετεμορφώθη,3339,,
2628,ἔλαμψεν,ἔλαμψεν,2989,,
2629,ἱμάτια,ἱμάτια,2440,,
2630,λευκά,λευκά,3022,,
2631,ὤφθησαν,ὤφθησαν,3708,,
2632,συλλαλοῦντες,συλλαλοῦντες,4814,,
2633,ποιήσωμεν,ποιήσωμεν,4160,,
2634,σκηνάς,σκηνάς,4633,,
2635,μωσῇ,μωσῇ,3475,,
2636,ἠλίᾳ,ἠλίᾳ,2243,,
2637,νεφέλη,νεφέλη,3507,,
2638,φωτεινή,φωτεινή,5460,,
2639,ἐπεσκίασεν,ἐπεσκίασεν,1982,,
2640,νεφέλης,νεφέλης,3507,,
2641,ἔπεσον,ἔπεσον,4098,,
2642,ἐφοβήθησαν,ἐφοβήθησαν,5399,,
2643,ἐγέρθητε,ἐγέρθητε,1453,,
2644,ἐπάραντες,ἐπάραντες,1869,,
2645,οὐδένα,οὐδένα,3762,,
2646,καταβαινόντων,καταβαινόντων,2597,,
2647,εἴπητε,εἴπητε,3004,,
2648,ὅραμα,ὅραμα,3705,,
2649,ἀναστῇ,ἀναστῇ,450,,
2650,ἀποκαταστήσει,ἀποκαταστήσει,600,,
2651,ἐπέγνωσαν,ἐπέγνωσαν,1921,,
2652,ἐποίησαν,ἐποίησαν,4160,,
2653,ἠθέλησαν,ἠθέλησαν,2309,,
2654,πάσχειν,πάσχειν,3958,,
2655,ἐλθόντων,ἐλθόντων,2064,,
2656,γονυπετῶν,γονυπετῶν,1120,,
2657,σεληνιάζεται,σεληνιάζεται,4583,,
2658,πάσχει,πάσχει,3958,,
2659,πολλάκις,πολλάκις,4178,,
2660,πίπτει,πίπτει,4098,,
2661,ὕδωρ,ὕδωρ,5204,,
2662,προσήνεγκα,προσήνεγκα,4374,,
2663,ἠδυνήθησαν,ἠδυνήθησαν,1410,,
2664,θεραπεῦσαι,θεραπεῦσαι,2323,,
2665,ἄπιστος,ἄπιστος,571,,
2666,διεστραμμένη,διεστραμμένη,1294,,
2667,πότε,πότε,4219,,
2668,ἔσομαι,ἔσομαι,1510,,
2669,ἀνέξομαι,ἀνέξομαι,430,,
2670,ἐθεραπεύθη,ἐθεραπεύθη,2323,,
2671,ἠδυνήθημεν,ἠδυνήθημεν,1410,,
2672,ἔχητε,ἔχητε,2192,,
2673,κόκκον,κόκκον,2848,,
2674,ἐρεῖτε,ἐρεῖτε,2046,,
2675,ὄρει,ὄρει,3735,,
2676,μετάβηθι,μετάβηθι,3327,,
2677,ἐντεῦθεν,ἐντεῦθεν,1782,,
2678,μεταβήσεται,μεταβήσεται,3327,,
2679,ἀδυνατήσει,ἀδυνατήσει,101,,
2680,γένος,γένος,1085,,
2681,ἐκπορεύεται,ἐκπορεύεται,1607,,
2682,προσευχῇ,προσευχῇ,4335,,
2683,νηστείᾳ,νηστείᾳ,3521,,
2684,ἀναστρεφομένων,ἀναστρεφομένων,390,,
2685,γαλιλαίᾳ,γαλιλαίᾳ,1056,,
2686,παραδίδοσθαι,παραδίδοσθαι,3860,,
2687,ἀποκτενοῦσιν,ἀποκτενοῦσιν,615,,
2688,ἐλυπήθησαν,ἐλυπήθησαν,3076,,
2689,δίδραχμα,δίδραχμα,1323,,
2690,λαμβάνοντες,λαμβάνοντες,2983,,
2691,τελεῖ,τελεῖ,5055,,
2692,προέφθασεν,προέφθασεν,4399,,
2693,δοκεῖ,δοκεῖ,1380,,
2694,τίνων,τίνων,5101,,
2695,λαμβάνουσιν,λαμβάνουσιν,2983,,
2696,τέλη,τέλη,5056,,
2697,κῆνσον,κῆνσον,2778,,
2698,υἱῶν,υἱῶν,5207,,
2699,ἀλλοτρίων,ἀλλοτρίων,245,,
2700,ἐλεύθεροί,ἐλεύθεροί,1658,,
2701,σκανδαλίσωμεν,σκανδαλίσωμεν,4624,,
2702,πορευθείς,πορευθείς,4198,,
2703,ἄγκιστρον,ἄγκιστρον,44,,
2704,ἀναβαίνοντα,ἀναβαίνοντα,305,,
2705,ἆρον,ἆρον,142,,
2706,εὑρήσεις,εὑρήσεις,2147,,
2707,στατῆρα,στατῆρα,4715,,
2708,ἔστησεν,ἔστησεν,2476,,
2709,στραφῆτε,στραφῆτε,4762,,
2710,παιδία,παιδία,3813,,
2711,ταπεινώσει,ταπεινώσει,5013,5014.0,
2712,τοιοῦτον,τοιοῦτον,5108,,
2713,ὀνόματί,ὀνόματί,3686,,
2714,σκανδαλίσῃ,σκανδαλίσῃ,4624,,
2715,πιστευόντων,πιστευόντων,4100,,
2716,κρεμασθῇ,κρεμασθῇ,2910,,
2717,μύλος,μύλος,3458,,
2718,ὀνικός,ὀνικός,3684,,
2719,τράχηλον,τράχηλον,5137,,
2720,καταποντισθῇ,καταποντισθῇ,2670,,
2721,πελάγει,πελάγει,3989,,
2722,κόσμῳ,κόσμῳ,2889,,
2723,σκανδάλων,σκανδάλων,4625,,
2724,ἀνάγκη,ἀνάγκη,318,,
2725,σκάνδαλον,σκάνδαλον,4625,,
2726,πούς,πούς,4228,,
2727,χωλόν,χωλόν,5560,,
2728,κυλλόν,κυλλόν,2948,,
2729,αἰώνιον,αἰώνιον,166,,
2730,μονόφθαλμον,μονόφθαλμον,3442,,
2731,καταφρονήσητε,καταφρονήσητε,2706,,
2732,ἀπολωλός,ἀπολωλός,622,,
2733,γένηταί,γένηταί,1096,,
2734,τινι,τινι,5100,,
2735,πλανηθῇ,πλανηθῇ,4105,,
2736,ἐνενήκοντα,ἐνενήκοντα,1768,,
2737,ἐννέα,ἐννέα,1767,,
2738,ὄρη,ὄρη,3735,,
2739,ζητεῖ,ζητεῖ,2212,,
2740,πλανώμενον,πλανώμενον,4105,,
2741,εὑρεῖν,εὑρεῖν,2147,,
2742,χαίρει,χαίρει,5463,,
2743,πεπλανημένοις,πεπλανημένοις,4105,,
2744,ἁμαρτήσῃ,ἁμαρτήσῃ,264,,
2745,σέ,σέ,4771,,
2746,ἔλεγξον,ἔλεγξον,1651,,
2747,μεταξύ,μεταξύ,3342,,
2748,μόνου,μόνου,3441,,
2749,ἐκέρδησας,ἐκέρδησας,2770,,
2750,μαρτύρων,μαρτύρων,3144,,
2751,τριῶν,τριῶν,5140,,
2752,σταθῇ,σταθῇ,2476,,
2753,παρακούσῃ,παρακούσῃ,3878,,
2754,ἐκκλησίᾳ,ἐκκλησίᾳ,1577,,
2755,ἐκκλησίας,ἐκκλησίας,1577,,
2756,ἐθνικός,ἐθνικός,1482,,
2757,δήσητε,δήσητε,1210,,
2758,δεδεμένα,δεδεμένα,1210,,
2759,λύσητε,λύσητε,3089,,
2760,λελυμένα,λελυμένα,3089,,
2761,συμφωνήσωσιν,συμφωνήσωσιν,4856,,
2762,πράγματος,πράγματος,4229,,
2763,αἰτήσωνται,αἰτήσωνται,154,,
2764,γενήσεται,γενήσεται,1096,,
2765,συνηγμένοι,συνηγμένοι,4863,,
2766,ἐμόν,ἐμόν,1699,,
2767,ποσάκις,ποσάκις,4212,,
2768,ἁμαρτήσει,ἁμαρτήσει,264,,
2769,ἀφήσω,ἀφήσω,863,,
2770,ἑπτάκις,ἑπτάκις,2034,,
