id,sbl_id,word_order
399,90552,15
400,90553,16
401,90554,17
402,90555,1
403,90556,2
404,90557,3
405,90558,4
406,90559,5
407,90560,6
408,90561,7
409,90562,8
410,90563,9
411,90564,10
412,90565,11
413,90566,12
414,90567,13
415,90568,14
416,90569,15
417,90570,16
418,90571,17
419,90572,18
420,90573,1
421,90574,2
422,90575,3
423,90576,4
424,90577,5
425,90578,6
426,90579,7
427,90580,8
428,90581,9
429,90582,10
430,90583,11
431,90584,12
432,90585,14
433,90586,15
434,90587,16
435,90588,17
436,90589,18
437,90590,19
438,90591,20
439,90592,21
440,90593,22
441,90594,23
442,90595,24
443,90596,25
444,90597,1
445,90598,2
446,90599,3
447,90600,4
448,90601,5
449,90602,6
450,90603,7
451,90604,8
452,90605,9
453,90606,10
454,90607,11
455,90608,13
456,90609,14
457,90610,15
458,90611,16
459,90612,17
460,90613,18
461,90614,19
462,90615,1
463,90616,2
464,90617,3
465,90618,4
466,90619,5
467,90620,6
468,90621,7
469,90622,8
470,90623,1
471,90624,2
472,90625,3
473,90626,4
474,90627,5
475,90628,6
476,90629,7
477,90630,8
478,90631,9
479,90632,10
480,90633,12
481,90634,13
482,90635,14
483,90636,15
484,90637,16
485,90638,17
486,90639,18
487,90640,19
488,90641,20
489,90642,21
490,90643,1
491,90644,2
492,90645,3
493,90646,4
494,90647,5
495,90648,6
496,90649,7
497,90650,8
498,90651,1
499,90652,2
500,90653,3
501,90654,4
502,90655,5
503,90656,6
504,90657,7
505,90658,8
506,90659,9
507,90660,10
508,90661,11
509,90662,12
510,90663,13
511,90664,14
512,90665,15
513,90666,16
514,90667,17
515,90668,18
516,90669,1
517,90670,2
518,90671,5
519,90672,6
520,90673,7
521,90674,9
522,90675,10
523,90676,11
524,90677,12
525,90678,13
526,90679,14
527,90680,15
528,90681,16
529,90682,17
530,90683,1
531,90684,2
532,90685,3
533,90686,4
534,90687,6
535,90688,10
536,90689,11
537,90690,12
538,90691,13
539,90692,14
540,90693,15
541,90694,16
542,90695,17
543,90696,1
544,90697,2
545,90698,3
546,90699,4
547,90700,5
548,90701,6
549,90702,7
550,90703,8
551,90704,9
552,90705,10
553,90706,13
554,90707,14
555,90708,16
556,90709,17
557,90710,18
558,90711,19
559,90712,20
560,90713,21
561,90714,1
562,90715,2
563,90716,3
564,90717,4
565,90718,5
566,90719,6
567,90720,7
568,90721,8
569,90722,9
570,90723,10
571,90724,11
572,90725,12
573,90726,13
574,90727,1
575,90728,2
576,90729,3
577,90730,4
578,90731,5
579,90732,6
580,90733,7
581,90734,8
582,90735,9
583,90736,10
584,90737,11
585,90738,12
586,90739,13
587,90740,14
588,90741,15
589,90742,16
590,90743,17
591,90744,18
592,90745,19
593,90746,20
594,90747,1
595,90748,2
596,90749,4
597,90750,5
598,90751,6
599,90752,7
600,90753,8
601,90754,9
602,90755,10
603,90756,11
604,90757,12
605,90758,13
606,90759,14
607,90760,15
608,90761,16
609,90762,17
610,90763,18
611,90764,19
612,90765,1
613,90766,2
614,90767,3
615,90768,4
616,90769,5
617,90770,6
618,90771,7
619,90772,8
620,90773,9
621,90774,10
622,90775,11
623,90776,12
624,90777,13
625,90778,14
626,90779,15
627,90780,16
628,90781,17
629,90782,18
630,90783,1
631,90784,2
632,90785,3
633,90786,4
634,90787,5
635,90788,6
636,90789,7
637,90790,8
638,90791,9
639,90792,10
640,90793,11
641,90794,12
642,90795,13
643,90796,14
644,90797,15
645,90798,16
646,90799,17
647,90800,19
648,90801,20
649,90802,21
650,90803,22
651,90804,23
652,90805,24
653,90806,25
654,90807,1
655,90808,11
656,90809,12
657,90810,13
658,90811,14
659,90812,15
660,90813,16
661,90814,17
662,90815,21
663,90816,22
664,90817,23
665,90818,24
666,90819,25
667,90820,26
668,90821,27
669,90822,28
670,90823,29
671,90824,30
672,90825,1
673,90826,2
674,90827,3
675,90828,4
676,90829,5
677,90830,6
678,90831,7
679,90832,8
680,90833,9
681,90834,10
682,90835,11
683,90836,12
684,90837,13
685,90838,14
686,90839,15
687,90840,16
688,90841,17
689,90842,18
690,90843,19
691,90844,20
692,90845,21
693,90846,22
694,90847,24
695,90848,25
696,90849,26
697,90850,27
698,90851,28
699,90852,29
700,90853,30
701,90854,1
702,90855,2
703,90856,3
704,90857,4
705,90858,5
706,90859,6
707,90860,7
708,90861,8
709,90862,9
710,90863,10
711,90864,11
712,90865,12
713,90866,13
714,90867,14
715,90868,15
716,90869,16
717,90870,17
718,90871,18
719,90872,19
720,90873,20
721,90874,21
722,90875,22
723,90876,23
724,90877,1
725,90878,2
726,90879,3
727,90880,4
728,90881,5
729,90882,6
730,90883,7
731,90884,8
732,90885,9
733,90886,10
734,90887,11
735,90888,12
736,90889,13
737,90890,15
738,90891,16
739,90892,17
740,90893,1
741,90894,2
742,90895,3
743,90896,4
744,90897,5
745,90898,6
746,90899,7
747,90900,8
748,90901,9
749,90902,10
750,90903,11
751,90904,12
752,90905,13
753,90906,14
754,90907,15
755,90908,16
756,90909,17
757,90910,18
758,90911,19
759,90912,20
760,90913,21
761,90914,1
762,90915,2
763,90916,3
764,90917,4
765,90918,6
766,90919,7
767,90920,8
768,90921,9
769,90922,10
770,90923,11
771,90924,12
772,90925,1
773,90926,2
774,90927,3
775,90928,4
776,90929,5
777,90930,6
778,90931,7
779,90932,8
780,90933,9
781,90934,10
782,90935,11
783,90936,12
784,90937,13
785,90938,3
786,90939,4
787,90940,5
788,90941,6
789,90942,8
790,90943,9
791,90944,10
792,90945,11
793,90946,12
794,90947,13
795,90948,15
796,90949,16
797,90950,17
798,90951,18
799,90952,19
800,90953,1
801,90954,2
802,90955,3
803,90956,5
804,90957,6
805,90958,7
806,90959,8
807,90960,9
808,90961,10
809,90962,12
810,90963,13
811,90964,14
812,90965,15
813,90966,1
814,90967,2
815,90968,3
816,90969,4
817,90970,5
818,90971,6
819,90972,7
820,90973,8
821,90974,9
822,90975,10
823,90976,11
824,90977,14
825,90978,15
826,90979,16
827,90980,17
828,90981,18
829,90982,19
830,90983,20
831,90984,1
832,90985,2
833,90986,3
834,90987,4
835,90988,5
836,90989,6
837,90990,7
838,90991,8
839,90992,9
840,90993,10
841,90994,11
842,90995,15
843,90996,16
844,90997,17
845,90998,18
846,90999,1
847,91000,2
848,91001,3
849,91002,4
850,91003,5
851,91004,6
852,91005,7
853,91006,8
854,91007,14
855,91008,15
856,91009,16
857,91010,17
858,91011,18
859,91012,19
860,91013,20
861,91014,21
862,91015,22
863,91016,23
864,91017,1
865,91018,2
866,91019,4
867,91020,5
868,91021,6
869,91022,7
870,91023,8
871,91024,9
872,91025,1
873,91026,2
874,91027,3
875,91028,4
876,91029,5
877,91030,6
878,91031,7
879,91032,8
880,91033,9
881,91034,10
882,91035,11
883,91036,12
884,91037,13
885,91038,1
886,91039,2
887,91040,3
888,91041,4
889,91042,5
890,91043,6
891,91044,7
892,91045,8
893,91046,9
894,91047,10
895,91048,11
896,91049,12
897,91050,13
898,91051,15
899,91052,16
900,91053,17
901,91054,18
902,91055,19
903,91056,1
904,91057,2
905,91058,3
906,91059,4
907,91060,5
908,91061,6
909,91062,7
910,91063,8
911,91064,9
912,91065,1
913,91066,2
914,91067,3
915,91068,4
916,91069,5
917,91070,6
918,91071,7
919,91072,8
920,91073,9
921,91074,10
922,91075,11
923,91076,12
924,91077,13
925,91078,14
926,91079,15
927,91080,16
928,91081,17
929,91082,18
930,91083,19
931,91084,20
932,91085,21
933,91086,1
934,91087,2
935,91088,3
936,91089,4
937,91090,5
938,91091,6
939,91092,7
940,91093,8
941,91094,9
942,91095,10
943,91096,11
944,91097,12
945,91098,13
946,91099,1
947,91100,2
948,91101,3
949,91102,4
950,91103,5
951,91104,6
952,91105,7
953,91106,9
954,91107,10
955,91108,11
956,91109,12
957,91110,13
958,91111,14
959,91112,15
960,91113,1
961,91114,2
962,91115,3
963,91116,4
964,91117,5
965,91118,6
966,91119,7
967,91120,8
968,91121,9
969,91122,10
970,91123,11
971,91124,12
972,91125,13
973,91126,14
974,91127,15
975,91128,16
976,91129,17
977,91130,18
978,91131,19
979,91132,20
980,91133,21
981,91134,22
982,91135,23
983,91136,1
984,91137,2
985,91138,3
986,91139,4
987,91140,6
988,91141,7
989,91142,8
990,91143,9
991,91144,11
992,91145,1
993,91146,2
994,91147,3
995,91148,4
996,91149,5
997,91150,6
998,91151,7
999,91152,8
1000,91153,9
1001,91154,10
1002,91155,11
1003,91156,12
1004,91157,13
1005,91158,14
1006,91159,1
1007,91160,2
1008,91161,3
1009,91162,4
1010,91163,5
1011,91164,6
1012,91165,7
1013,91166,8
1014,91167,9
1015,91168,10
1016,91169,11
1017,91170,12
1018,91171,13
1019,91172,14
1020,91173,1
1021,91174,2
1022,91175,3
1023,91176,4
1024,91177,5
1025,91178,6
1026,91179,7
1027,91180,8
1028,91181,9
1029,91182,10
1030,91183,11
1031,91184,12
1032,91185,13
1033,91186,14
1034,91187,15
1035,91188,16
1036,91189,17
1037,91190,18
1038,91191,19
1039,91192,20
1040,91193,21
1041,91194,1
1042,91195,2
1043,91196,3
1044,91197,4
1045,91198,5
1046,91199,6
1047,91200,7
1048,91201,8
1049,91202,9
1050,91203,10
1051,91204,11
1052,91205,12
1053,91206,13
1054,91207,14
1055,91208,15
1056,91209,16
1057,91210,17
1058,91211,18
1059,91212,19
1060,91213,1
1061,91214,2
1062,91215,3
1063,91216,4
1064,91217,5
1065,91218,6
1066,91219,7
1067,91220,8
1068,91221,9
1069,91222,10
1070,91223,11
1071,91224,12
1072,91225,13
1073,91226,14
1074,91227,15
1075,91228,16
1076,91229,17
1077,91230,18
1078,91231,19
1079,91232,20
1080,91233,21
1081,91234,1
1082,91235,2
1083,91236,3
1084,91237,4
1085,91238,5
1086,91239,6
1087,91240,7
1088,91241,8
1089,91242,9
1090,91243,10
1091,91244,11
1092,91245,1
1093,91246,2
1094,91247,3
1095,91248,4
1096,91249,5
1097,91250,6
1098,91251,7
1099,91252,8
1100,91253,9
1101,91254,1
1102,91255,2
1103,91256,3
1104,91257,5
1105,91258,6
1106,91259,7
1107,91260,8
1108,91261,9
1109,91262,10
1110,91263,11
1111,91264,12
1112,91265,13
1113,91266,14
1114,91267,15
1115,91268,16
1116,91269,17
1117,91270,18
1118,91271,19
1119,91272,1
1120,91273,2
1121,91274,3
1122,91275,4
1123,91276,5
1124,91277,6
1125,91278,1
1126,91279,2
1127,91280,3
1128,91281,4
1129,91282,5
1130,91283,6
1131,91284,7
1132,91285,8
1133,91286,9
1134,91287,10
1135,91288,11
1136,91289,3
1137,91290,4
1138,91291,5
1139,91292,6
1140,91293,7
1141,91294,8
1142,91295,9
1143,91296,10
1144,91297,11
1145,91298,12
1146,91299,1
1147,91300,2
1148,91301,3
1149,91302,4
1150,91303,5
1151,91304,6
1152,91305,7
1153,91306,8
1154,91307,9
1155,91308,10
1156,91309,11
1157,91310,12
1158,91311,13
1159,91312,14
1160,91313,15
1161,91314,16
1162,91315,17
1163,91316,1
1164,91317,2
1165,91318,3
1166,91319,4
1167,91320,5
1168,91321,6
1169,91322,7
1170,91323,8
1171,91324,9
1172,91325,10
1173,91326,11
1174,91327,12
1175,91328,13
1176,91329,14
1177,91330,15
1178,91331,1
1179,91332,2
1180,91333,3
1181,91334,4
1182,91335,5
1183,91336,6
1184,91337,7
1185,91338,8
1186,91339,9
1187,91340,10
1188,91341,11
1189,91342,12
1190,91343,13
1191,91344,14
1192,91345,15
1193,91346,16
1194,91347,17
1195,91348,18
1196,91349,19
1197,91350,20
1198,91351,21
1199,91352,22
1200,91353,23
1201,91354,24
1202,91355,25
1203,91356,26
1204,91357,27
1205,91358,28
1206,91359,29
1207,91360,30
1208,91361,31
1209,91362,32
1210,91363,33
1211,91364,1
1212,91365,2
1213,91366,3
1214,91367,4
1215,91368,5
1216,91369,6
1217,91370,7
1218,91371,9
1219,91372,10
1220,91373,11
1221,91374,12
1222,91375,13
1223,91376,14
1224,91377,15
1225,91378,16
1226,91379,17
1227,91380,18
1228,91381,19
1229,91382,20
1230,91383,22
1231,91384,23
1232,91385,24
1233,91386,25
1234,91387,26
1235,91388,27
1236,91389,28
1237,91390,29
1238,91391,30
1239,91392,31
1240,91393,1
1241,91394,2
1242,91395,3
1243,91396,4
1244,91397,5
1245,91398,6
1246,91399,7
1247,91400,8
1248,91401,9
1249,91402,10
1250,91403,11
1251,91404,12
1252,91405,13
1253,91406,14
1254,91407,15
1255,91408,16
1256,91409,17
1257,91410,18
1258,91411,19
1259,91412,1
1260,91413,2
1261,91414,3
1262,91415,4
1263,91416,5
1264,91417,6
1265,91418,7
1266,91419,8
1267,91420,9
1268,91421,10
1269,91422,11
1270,91423,12
1271,91424,13
1272,91425,14
1273,91426,15
1274,91427,16
1275,91428,17
1276,91429,1
1277,91430,2
1278,91431,4
1279,91432,5
1280,91433,6
1281,91434,7
1282,91435,8
1283,91436,9
1284,91437,10
1285,91438,11
1286,91439,12
1287,91440,13
1288,91441,14
1289,91442,15
1290,91443,16
1291,91444,17
1292,91445,18
1293,91446,19
1294,91447,20
1295,91448,21
1296,91449,1
1297,91450,2
1298,91451,3
1299,91452,4
1300,91453,5
1301,91454,6
1302,91455,7
1303,91456,8
1304,91457,9
1305,91458,10
1306,91459,11
1307,91460,12
1308,91461,13
1309,91462,14
1310,91463,15
1311,91464,16
1312,91465,17
1313,91466,18
1314,91467,19
1315,91468,1
1316,91469,2
1317,91470,3
1318,91471,4
1319,91472,5
1320,91473,6
1321,91474,7
1322,91475,8
1323,91476,9
1324,91477,11
1325,91478,12
1326,91479,13
1327,91480,14
1328,91481,15
1329,91482,1
1330,91483,2
1331,91484,3
1332,91485,4
1333,91486,5
1334,91487,6
1335,91488,7
1336,91489,8
1337,91490,9
1338,91491,10
1339,91492,2
1340,91493,3
1341,91494,4
1342,91495,5
1343,91496,6
1344,91497,7
1345,91498,8
1346,91499,9
1347,91500,10
1348,91501,11
1349,91502,12
1350,91503,1
1351,91504,2
1352,91505,3
1353,91506,4
1354,91507,5
1355,91508,6
1356,91509,7
1357,91510,8
1358,91511,9
1359,91512,10
1360,91513,11
1361,91514,1
1362,91515,2
1363,91516,3
1364,91517,4
1365,91518,5
1366,91519,6
1367,91520,7
1368,91521,8
1369,91522,9
1370,91523,10
1371,91524,11
1372,91525,12
1373,91526,13
1374,91527,14
1375,91528,15
1376,91529,16
1377,91530,17
1378,91531,18
1379,91532,19
1380,91533,20
1381,91534,21
1382,91535,1
1383,91536,2
1384,91537,3
1385,91538,4
1386,91539,5
1387,91540,6
1388,91541,1
1389,91542,2
1390,91543,3
1391,91544,4
1392,91545,5
1393,91546,6
1394,91547,7
1395,91548,9
1396,91549,10
1397,91550,11
1398,91551,12
1399,91552,13
1400,91553,14
1401,91554,15
1402,91555,16
1403,91556,17
1404,91557,18
1405,91558,19
1406,91559,20
1407,91560,21
1408,91561,22
1409,91562,23
1410,91563,24
1411,91564,25
1412,91565,26
1413,91566,27
1414,91567,28
1415,91568,29
1416,91569,30
1417,91570,31
1418,91571,1
1419,91572,2
1420,91573,3
1421,91574,4
1422,91575,5
1423,91576,6
1424,91577,7
1425,91578,8
1426,91579,9
1427,91580,1
1428,91581,2
1429,91582,3
1430,91583,4
1431,91584,5
1432,91585,6
1433,91586,7
1434,91587,8
1435,91588,9
1436,91589,10
1437,91590,11
1438,91591,12
1439,91592,13
1440,91593,14
1441,91594,15
1442,91595,16
1443,91596,17
1444,91597,18
1445,91598,19
1446,91599,1
1447,91600,2
1448,91601,3
1449,91602,4
1450,91603,5
1451,91604,6
1452,91605,7
1453,91606,8
1454,91607,9
1455,91608,10
1456,91609,11
1457,91610,1
1458,91611,2
1459,91612,3
1460,91613,4
1461,91614,5
1462,91615,6
1463,91616,7
1464,91617,8
1465,91618,9
1466,91619,10
1467,91620,11
1468,91621,12
1469,91622,14
1470,91623,1
1471,91624,2
1472,91625,3
1473,91626,4
1474,91627,5
1475,91628,6
1476,91629,7
1477,91630,8
1478,91631,9
1479,91632,10
1480,91633,11
1481,91634,12
1482,91635,13
1483,91636,15
1484,91637,16
1485,91638,17
1486,91639,18
1487,91640,19
1488,91641,20
1489,91642,1
1490,91643,2
1491,91644,3
1492,91645,4
1493,91646,5
1494,91647,6
1495,91648,7
1496,91649,8
1497,91650,9
1498,91651,11
1499,91652,12
1500,91653,13
1501,91654,14
1502,91655,15
1503,91656,16
1504,91657,17
1505,91658,18
1506,91659,19
1507,91660,1
1508,91661,2
1509,91662,3
1510,91663,5
1511,91664,6
1512,91665,7
1513,91666,8
1514,91667,9
1515,91668,10
1516,91669,11
1517,91670,12
1518,91671,13
1519,91672,14
1520,91673,15
1521,91674,16
1522,91675,17
1523,91676,18
1524,91677,19
1525,91678,1
1526,91679,2
1527,91680,3
1528,91681,4
1529,91682,5
1530,91683,6
1531,91684,7
1532,91685,9
1533,91686,10
1534,91687,11
1535,91688,12
1536,91689,13
1537,91690,14
1538,91691,15
1539,91692,16
1540,91693,17
1541,91694,18
1542,91695,19
1543,91696,20
1544,91697,21
1545,91698,1
1546,91699,2
1547,91700,3
1548,91701,4
1549,91702,5
1550,91703,6
1551,91704,7
1552,91705,8
1553,91706,9
1554,91707,10
1555,91708,11
1556,91709,12
1557,91710,13
1558,91711,14
1559,91712,15
1560,91713,16
1561,91714,17
1562,91715,18
1563,91716,1
1564,91717,2
1565,91718,3
1566,91719,4
1567,91720,5
1568,91721,6
1569,91722,7
1570,91723,8
1571,91724,9
1572,91725,10
1573,91726,11
1574,91727,12
1575,91728,13
1576,91729,14
1577,91730,1
1578,91731,2
1579,91732,3
1580,91733,4
1581,91734,5
1582,91735,6
1583,91736,7
1584,91737,8
1585,91738,9
1586,91739,10
1587,91740,11
1588,91741,12
1589,91742,13
1590,91743,14
1591,91744,15
1592,91745,16
1593,91746,19
1594,91747,20
1595,91748,1
1596,91749,2
1597,91750,3
1598,91751,4
1599,91752,5
1600,91753,6
1601,91754,7
1602,91755,8
1603,91756,9
1604,91757,10
1605,91758,11
1606,91759,12
1607,91760,13
1608,91761,14
1609,91762,15
1610,91763,16
1611,91764,17
1612,91765,18
1613,91766,1
1614,91767,2
1615,91768,3
1616,91769,4
1617,91770,5
1618,91771,6
1619,91772,7
1620,91773,8
1621,91774,2
1622,91775,3
1623,91776,4
1624,91777,5
1625,91778,6
1626,91779,7
1627,91780,8
1628,91781,9
1629,91782,10
1630,91783,11
1631,91784,12
1632,91785,13
1633,91786,14
1634,91787,17
1635,91788,18
1636,91789,20
1637,91790,21
1638,91791,22
1639,91792,23
1640,91793,24
1641,91794,25
1642,91795,1
1643,91796,2
1644,91797,3
1645,91798,4
1646,91799,5
1647,91800,6
1648,91801,7
1649,91802,8
1650,91803,9
1651,91804,10
1652,91805,11
1653,91806,12
1654,91807,13
1655,91808,14
1656,91809,15
1657,91810,16
1658,91811,17
1659,91812,18
1660,91813,19
1661,91814,20
1662,91815,21
1663,91816,22
1664,91817,23
1665,91818,24
1666,91819,25
1667,91820,26
1668,91821,1
1669,91822,2
1670,91823,3
1671,91824,5
1672,91825,6
1673,91826,7
1674,91827,8
1675,91828,9
1676,91829,10
1677,91830,11
1678,91831,12
1679,91832,1
1680,91833,2
1681,91834,3
1682,91835,4
1683,91836,5
1684,91837,6
1685,91838,9
1686,91839,10
1687,91840,11
1688,91841,12
1689,91842,13
1690,91843,14
1691,91844,1
1692,91845,2
1693,91846,3
1694,91847,4
1695,91848,5
1696,91849,6
1697,91850,7
1698,91851,8
1699,91852,9
1700,91853,10
1701,91854,11
1702,91855,12
1703,91856,13
1704,91857,14
1705,91858,15
1706,91859,16
1707,91860,17
1708,91861,1
1709,91862,2
1710,91863,3
1711,91864,4
1712,91865,5
1713,91866,6
1714,91867,7
1715,91868,8
1716,91869,9
1717,91870,10
1718,91871,11
1719,91872,12
1720,91873,13
1721,91874,14
1722,91875,15
1723,91876,16
1724,91877,17
1725,91878,18
1726,91879,19
1727,91880,20
1728,91881,1
1729,91882,2
1730,91883,3
1731,91884,4
1732,91885,5
1733,91886,8
1734,91887,9
1735,91888,1
1736,91889,2
1737,91890,3
1738,91891,4
1739,91892,5
1740,91893,6
1741,91894,7
1742,91895,8
1743,91896,9
1744,91897,10
1745,91898,11
1746,91899,12
1747,91900,13
1748,91901,1
1749,91902,2
1750,91903,3
1751,91904,4
1752,91905,5
1753,91906,6
1754,91907,7
1755,91908,8
1756,91909,9
1757,91910,10
1758,91911,11
1759,91912,14
1760,91913,15
1761,91914,16
1762,91915,17
1763,91916,18
1764,91917,19
1765,91918,20
1766,91919,21
1767,91920,1
1768,91921,2
1769,91922,3
1770,91923,4
1771,91924,5
1772,91925,6
1773,91926,7
1774,91927,8
1775,91928,9
1776,91929,1
1777,91930,2
1778,91931,3
1779,91932,4
1780,91933,5
1781,91934,6
1782,91935,7
1783,91936,8
1784,91937,9
1785,91938,10
1786,91939,11
1787,91940,12
1788,91941,13
1789,91942,14
1790,91943,15
1791,91944,16
1792,91945,17
1793,91946,18
1794,91947,19
1795,91948,20
1796,91949,21
1797,91950,22
1798,91951,1
1799,91952,2
1800,91953,3
1801,91954,4
1802,91955,5
1803,91956,6
1804,91957,7
1805,91958,8
1806,91959,1
1807,91960,2
1808,91961,3
1809,91962,4
1810,91963,5
1811,91964,7
1812,91965,8
1813,91966,9
1814,91967,10
1815,91968,11
1816,91969,12
1817,91970,13
1818,91971,14
1819,91972,15
1820,91973,16
1821,91974,17
1822,91975,18
1823,91976,19
1824,91977,20
1825,91978,21
1826,91979,22
1827,91980,1
1828,91981,4
1829,91982,5
1830,91983,6
1831,91984,7
1832,91985,8
1833,91986,9
1834,91987,10
1835,91988,11
1836,91989,12
1837,91990,13
1838,91991,14
1839,91992,16
1840,91993,1
1841,91994,2
1842,91995,3
1843,91996,4
1844,91997,5
1845,91998,6
1846,91999,7
1847,92000,8
1848,92001,9
1849,92002,10
1850,92003,11
1851,92004,12
1852,92005,13
1853,92006,14
1854,92007,15
1855,92008,16
1856,92009,17
1857,92010,18
1858,92011,19
1859,92012,20
1860,92013,21
1861,92014,22
1862,92015,23
1863,92016,1
1864,92017,2
1865,92018,3
1866,92019,4
1867,92020,5
1868,92021,6
1869,92022,7
1870,92023,8
