book,chapter,verse,word_index,matched_word_index,word_order,secondary_word_order,word,unicode,std_poly_form,str_num,lemma,def,root_1,root_2,root_3,str_num_alt_2,str_num_alt_3
JOH,8,2,17,,13,8,KAI\,καὶ,καί,2532.0,καί,"and, also, both, but, even, for, if, or, so, that, then, therefore, when, yet",,,,,
JOH,8,2,18,14.0,14,1,KAQI/SAS,καθίσας,καθίσας,2523.0,καθίζω,"continue, set, sit (down), tarry",καθέζομαι,,,,
JOH,8,2,19,15.0,15,1,E)DI/DASKEN,ἐδίδασκεν,ἐδίδασκεν,1321.0,διδάσκω,teach,,,,,
JOH,8,2,20,16.0,16,1,AU)TOU/S,αὐτούς,αὐτούς,846.0,αὐτός,"her, it(-self), one, the other, (mine) own, said, (self-), the) same, ((him-, my-, thy- )self, (your-)selves, she, that, their(-s), them(-selves), there(-at, - by, -in, -into, -of, -on, -with), they, (these) things, this (man), those, together, very, which",,,,,
JOH,8,3,1,1.0,1,1,*)/AGOUSIN,Ἄγουσιν,ἄγουσιν,71.0,ἄγω,"be, bring (forth), carry, (let) go, keep, lead away, be open",,,,,
JOH,8,3,2,2.0,2,1,DE\,δὲ,δέ,1161.0,δέ,"also, and, but, moreover, now",,,,,
JOH,8,3,3,3.0,3,1,OI(,οἱ,οἱ,3588.0,ὁ,"the, this, that, one, he, she, it, etc",,,,,
JOH,8,3,4,4.0,4,1,GRAMMATEI=S,γραμματεῖς,γραμματεῖς,1122.0,γραμματεύς,"scribe, town-clerk",γράμμα,,,,
JOH,8,3,5,5.0,5,1,KAI\,καὶ,καί,2532.0,καί,"and, also, both, but, even, for, if, or, so, that, then, therefore, when, yet",,,,,
JOH,8,3,6,6.0,6,1,OI(,οἱ,οἱ,3588.0,ὁ,"the, this, that, one, he, she, it, etc",,,,,
JOH,8,3,7,7.0,7,1,*FARISAI=OI,Φαρισαῖοι,φαρισαῖοι,5330.0,Φαρισαῖος,Pharisee,,,,,
