id,word,unicode,std_poly_LC,book,chapter,verse,word_index
86,*)IHSOU=S,Ἰησοῦς,ἰησοῦς,JOH,8,6,13
87,KA/TW,κάτω,κάτω,JOH,8,6,14
88,KU/YAS,κύψας,κύψας,JOH,8,6,15
89,TW=|,τῷ,τῷ,JOH,8,6,16
90,DAKTU/LW|,δακτύλῳ,δακτύλῳ,JOH,8,6,17
91,E)/GRAFEN,ἔγραφεν,ἔγραφεν,JOH,8,6,18
92,EI)S,εἰς,εἰς,JOH,8,6,19
93,TH\N,τὴν,τήν,JOH,8,6,20
94,GH=N,γῆν,γῆν,JOH,8,6,21
95,*(WS,Ὡς,ὡς,JOH,8,7,1
96,DE\,δὲ,δέ,JOH,8,7,2
97,E)PE/MENON,ἐπέμενον,ἐπέμενον,JOH,8,7,3
98,E)PERWTW=NTES,ἐπερωτῶντες,ἐπερωτῶντες,JOH,8,7,4
99,AU)TO/N,αὐτόν,αὐτόν,JOH,8,7,5
100,A)NABLE/YAS,ἀναβλέψας,ἀναβλέψας,JOH,8,7,6
101,EI)=PEN,εἶπεν,εἶπεν,JOH,8,7,7
102,AU)TOI=S,αὐτοῖς,αὐτοῖς,JOH,8,7,8
103,*(O,Ὁ,ὁ,JOH,8,7,9
104,A)NAMA/RTHTOS,ἀναμάρτητος,ἀναμάρτητος,JOH,8,7,10
105,U(MW=N,ὑμῶν,ὑμῶν,JOH,8,7,11
106,PRW=TOS,πρῶτος,πρῶτος,JOH,8,7,12
107,LI/QON,λίθον,λίθον,JOH,8,7,13
108,BALE/TW,βαλέτω,βαλέτω,JOH,8,7,14
109,E)P,ἐπ,ἐπ,JOH,8,7,15
110,AU)TH/N,αὐτήν,αὐτήν,JOH,8,7,16
111,*KAI\,Καὶ,καί,JOH,8,8,1
112,PA/LIN,πάλιν,πάλιν,JOH,8,8,2
113,KA/TW,κάτω,κάτω,JOH,8,8,3
114,KU/YAS,κύψας,κύψας,JOH,8,8,4
115,E)/GRAFEN,ἔγραφεν,ἔγραφεν,JOH,8,8,5
116,EI)S,εἰς,εἰς,JOH,8,8,6
117,TH\N,τὴν,τήν,JOH,8,8,7
118,GH=N,γῆν,γῆν,JOH,8,8,8
119,*OI(,Οἱ,οἱ,JOH,8,9,1
120,DE/,δέ,δέ,JOH,8,9,2
121,A)KOU/SANTES,ἀκούσαντες,ἀκούσαντες,JOH,8,9,3
122,EI(=S,εἷς,εἷς,JOH,8,9,4
123,KAQ,καθ,καθ,JOH,8,9,5
124,EI(=S,εἷς,εἷς,JOH,8,9,6
125,A)RCA/MENOI,ἀρξάμενοι,ἀρξάμενοι,JOH,8,9,7
126,A)PO\,ἀπὸ,ἀπό,JOH,8,9,8
127,TW=N,τῶν,τῶν,JOH,8,9,9
128,PRESBUTE/RWN,πρεσβυτέρων,πρεσβυτέρων,JOH,8,9,10
