id,word,count,str_num,rp_code,rp_pos,rp_gender,rp_number,rp_word_case,rp_tense,rp_type,rp_voice,rp_mood,rp_person,rp_indeclinable,rp_description,rp_kai_incrasis,rp_extra
208,σαδωκ,2,4524,N-PRI,Noun,,,,,,,,,Indeclinable,proper noun,,
213,αχειμ,2,885,N-PRI,Noun,,,,,,,,,Indeclinable,proper noun,,
218,ελιουδ,2,1664,N-PRI,Noun,,,,,,,,,Indeclinable,proper noun,,
223,ελεαζαρ,2,1648,N-PRI,Noun,,,,,,,,,Indeclinable,proper noun,,
228,ματθαν,2,3157,N-PRI,Noun,,,,,,,,,Indeclinable,proper noun,,
238,ιωσηφ,35,2501,N-PRI,Noun,,,,,,,,,Indeclinable,proper noun,,
240,ανδρα,29,435,N-ASM,Noun,Masculine,Singular,Accusative,,,,,,,,,
241,μαριας,7,3137,N-GSF,Noun,Feminine,Singular,Genitive,,,,,,,,,
242,εξ,253,1537,PREP,Preposition,,,,,,,,,,,,
243,ης,55,3739,R-GSF,Relative Pronoun,Feminine,Singular,Genitive,,,,,,,,,
244,εγεννηθη,7,1080,V-API-3S,Verb,,Singular,,Aorist,,Passive,Indicative,Third person,,,,
245,ιησους,502,2424,N-NSM,Noun,Masculine,Singular,Nominative,,,,,,,,,
247,λεγομενος,12,3004,V-PPP-NSM,Verb,Masculine,Singular,Nominative,Present,,Passive,Participle,,,,,
248,χριστος,117,5547,N-NSM,Noun,Masculine,Singular,Nominative,,,,,,,,,
249,πασαι,15,3956,A-NPF,Adjective,Feminine,Plural,Nominative,,,,,,,,,
250,ουν,523,3767,CONJ,Conjunction,,,,,,,,,,,,
251,αι,151,3588,T-NPF,Article,Feminine,Plural,Nominative,,,,,,,,,
252,γενεαι,5,1074,N-NPF,Noun,Feminine,Plural,Nominative,,,,,,,,,
253,απο,487,575,PREP,Preposition,,,,,,,,,,,,
255,εως,146,2193,ADV,Adverb,,,,,,,,,,,,
258,δεκατεσσαρες,3,1180,A-NPF,Adjective,Feminine,Plural,Nominative,,,,,,,,,
282,η,1441,3588,T-NSF,Article,Feminine,Singular,Nominative,,,,,,,,,
283,γεννησις,1,1083,N-NSF,Noun,Feminine,Singular,Nominative,,,,,,,,,
284,ουτως,213,3779,ADV,Adverb,,,,,,,,,,,,
285,ην,421,1510,V-IAI-3S,Verb,,Singular,,Imperfect,,Active,Indicative,Third person,,,,
286,μνηστευθεισης,1,3423,V-APP-GSF,Verb,Feminine,Singular,Genitive,Aorist,,Passive,Participle,,,,,
287,γαρ,1063,1063,CONJ,Conjunction,,,,,,,,,,,,
289,μητρος,12,3384,N-GSF,Noun,Feminine,Singular,Genitive,,,,,,,,,
292,τω,1251,3588,T-DSM,Article,Masculine,Singular,Dative,,,,,,,,,
294,πριν,14,4250,ADV,Adverb,,,,,,,,,,,,
296,συνελθειν,3,4905,V-2AAN,Verb,,,,Second Aorist,,Active,Infinitive,,,,,
297,αυτους,353,846,P-APM,Personal Pronoun,Masculine,Plural,Accusative,,,,,,,,,
298,ευρεθη,17,2147,V-API-3S,Verb,,Singular,,Aorist,,Passive,Indicative,Third person,,,,
299,εν,2854,1722,PREP,Preposition,,,,,,,,,,,,
300,γαστρι,8,1064,N-DSF,Noun,Feminine,Singular,Dative,,,,,,,,,
301,εχουσα,15,2192,V-PAP-NSF,Verb,Feminine,Singular,Nominative,Present,,Active,Participle,,,,,
303,πνευματος,96,4151,N-GSN,Noun,Neuter,Singular,Genitive,,,,,,,,,
304,αγιου,43,40,A-GSN,Adjective,Neuter,Singular,Genitive,,,,,,,,,
308,ανηρ,51,435,N-NSM,Noun,Masculine,Singular,Nominative,,,,,,,,,
309,αυτης,169,846,P-GSF,Personal Pronoun,Feminine,Singular,Genitive,,,,,,,,,
310,δικαιος,20,1342,A-NSM,Adjective,Masculine,Singular,Nominative,,,,,,,,,
311,ων,129,1510,V-PAP-NSM,Verb,Masculine,Singular,Nominative,Present,,Active,Participle,,,,,
313,μη,1029,3361,PRT-N,Particle,,,,,negative,,,,,,,
314,θελων,14,2309,V-PAP-NSM,Verb,Masculine,Singular,Nominative,Present,,Active,Participle,,,,,
315,αυτην,138,846,P-ASF,Personal Pronoun,Feminine,Singular,Accusative,,,,,,,,,
316,παραδειγματισαι,1,3856,V-AAN,Verb,,,,Aorist,,Active,Infinitive,,,,,
317,εβουληθη,1,1014,V-AOI-3S,Verb,,Singular,,Aorist,,passive Deponent,Indicative,Third person,,,,
318,λαθρα,4,2977,ADV,Adverb,,,,,,,,,,,,
319,απολυσαι,11,630,V-AAN,Verb,,,,Aorist,,Active,Infinitive,,,,,
321,ταυτα,246,3778,D-APN,Demonstrative Pronoun,Neuter,Plural,Accusative,,,,,,,,,
324,ενθυμηθεντος,1,1760,V-AOP-GSM,Verb,Masculine,Singular,Genitive,Aorist,,passive Deponent,Participle,,,,,
325,ιδου,208,3708,V-2AMM-2S,Verb,,Singular,,Second Aorist,,Middle,Imperative,Second person,,,,
326,αγγελος,51,32,N-NSM,Noun,Masculine,Singular,Nominative,,,,,,,,,
327,κυριου,254,2962,N-GSM,Noun,Masculine,Singular,Genitive,,,,,,,,,
328,κατ,85,2596,PREP,Preposition,,,,,,,,,,,,
329,οναρ,6,3677,N-OI,Noun,,,,,,,,,Indeclinable,other,,
330,εφανη,5,5316,V-2API-3S,Verb,,Singular,,Second Aorist,,Passive,Indicative,Third person,,,,
331,αυτω,888,846,P-DSM,Personal Pronoun,Masculine,Singular,Dative,,,,,,,,,
332,λεγων,189,3004,V-PAP-NSM,Verb,Masculine,Singular,Nominative,Present,,Active,Participle,,,,,
334,υιος,164,5207,N-NSM,Noun,Masculine,Singular,Nominative,,,,,,,,,
337,φοβηθης,1,5399,V-AOS-2S,Verb,,Singular,,Aorist,,passive Deponent,Subjunctive,Second person,,,,
338,παραλαβειν,1,3880,V-2AAN,Verb,,,,Second Aorist,,Active,Infinitive,,,,,
339,μαριαμ,14,3137,N-PRI,Noun,,,,,,,,,Indeclinable,proper noun,,
341,γυναικα,55,1135,N-ASF,Noun,Feminine,Singular,Accusative,,,,,,,,,
342,σου,497,4771,P-2GS,Personal Pronoun,,Singular,Genitive,,,,,Second person,,,,
343,το,1721,3588,T-NSN,Article,Neuter,Singular,Nominative,,,,,,,,,
