id,parsed_id,word,simplified_word,unicode,count
21038,21038,*AU)TOMA/TH,automath,Αὐτομάτη,1
21046,21046,STA/XUN,staxun,στάχυν,1
21048,21048,PLH/RH,plhrh,πλήρη,2
21052,21052,STA/XUI+,staxui,στάχυϊ,1
21057,12607,KARPO/S,karpos,καρπός,1
21061,21061,DRE/PANON,drepanon,δρέπανον,7
21063,21063,PARE/STHKEN,paresthken,παρέστηκεν,2
21065,4950,QERISMO/S,qerismos,θερισμός,1
21069,21069,O(MOIW/SWMEN,omoiwswmen,ὁμοιώσωμεν,1
21077,21077,PARABOLH=|,parabolh,παραβολῇ,2
21078,21078,PARABA/LWMEN,parabalwmen,παραβάλωμεν,1
21083,1929,O(/S,os,ὅς,24
21085,21085,SPARH=|,sparh,σπαρῇ,2
21111,21111,MEGA/LOUS,megalous,μεγάλους,3
21116,21116,SKIA\N,skian,σκιὰν,1
21124,21124,TOIAU/TAIS,toiautais,τοιαύταις,2
21126,21126,POLLAI=S,pollais,πολλαῖς,4
21132,21132,E)DU/NANTO,edunanto,ἐδύναντο,1
21146,21146,E)PE/LUEN,epeluen,ἐπέλυεν,1
21157,21157,*DIE/LQWMEN,dielqwmen,Διέλθωμεν,3
21165,21165,PARALAMBA/NOUSIN,paralambanousin,παραλαμβάνουσιν,1
21175,21175,PLOIA/RIA,ploiaria,πλοιάρια,2
21181,21181,LAI=LAY,lailay,λαῖλαψ,2
21186,21186,KU/MATA,kumata,κύματα,2
21187,21187,E)PE/BALLEN,epeballen,ἐπέβαλλεν,1
21194,21194,GEMI/ZESQAI,gemizesqai,γεμίζεσθαι,1
21200,21200,PRU/MNH|,prumnh,πρύμνῃ,1
21203,21203,PROSKEFA/LAION,proskefalaion,προσκεφάλαιον,1
21204,21204,KAQEU/DWN,kaqeudwn,καθεύδων,2
21206,21206,DIEGEI/ROUSIN,diegeirousin,διεγείρουσιν,1
21218,408,DIEGERQEI\S,diegerqeis,διεγερθεὶς,1
21221,21221,A)NE/MW|,anemw,ἀνέμῳ,4
21226,21226,*SIW/PA,siwpa,Σιώπα,1
21227,21227,PEFI/MWSO,pefimwso,πεφίμωσο,1
21249,21249,FO/BON,fobon,φόβον,15
21279,21279,*GADARHNW=N,gadarhnwn,Γαδαρηνῶν,3
21281,21281,E)CELQO/NTI,ecelqonti,ἐξελθόντι,1
21298,21298,KATOI/KHSIN,katoikhsin,κατοίκησιν,1
21302,21302,MNH/MASIN,mnhmasin,μνήμασιν,3
21305,21305,A(LU/SESIN,alusesin,ἁλύσεσιν,5
21309,21309,DH=SAI,dhsai,δῆσαι,2
21314,21314,PE/DAIS,pedais,πέδαις,2
21317,21317,DEDE/SQAI,dedesqai,δεδέσθαι,1
21319,21319,DIESPA=SQAI,diespasqai,διεσπᾶσθαι,1
21323,21323,A(LU/SEIS,aluseis,ἁλύσεις,2
21326,21326,PE/DAS,pedas,πέδας,1
21327,21327,SUNTETRI/FQAI,suntetrifqai,συντετρίφθαι,1
21331,21331,I)/SXUEN,isxuen,ἴσχυεν,2
