id,info_id,book,chapter,verse,word_index
1,1,MAT,1,1,0
2,2,MAT,1,1,1
3,3,MAT,1,1,2
4,4,MAT,1,1,3
5,5,MAT,1,1,4
6,6,MAT,1,1,5
7,5,MAT,1,1,6
8,8,MAT,1,1,7
9,8,MAT,1,2,0
10,10,MAT,1,2,1
11,11,MAT,1,2,2
12,12,MAT,1,2,3
13,12,MAT,1,2,4
14,14,MAT,1,2,5
15,10,MAT,1,2,6
16,11,MAT,1,2,7
17,17,MAT,1,2,8
18,17,MAT,1,2,9
19,14,MAT,1,2,10
20,10,MAT,1,2,11
21,11,MAT,1,2,12
22,22,MAT,1,2,13
23,23,MAT,1,2,14
24,24,MAT,1,2,15
25,25,MAT,1,2,16
26,26,MAT,1,2,17
27,27,MAT,1,3,0
28,14,MAT,1,3,1
29,10,MAT,1,3,2
30,11,MAT,1,3,3
31,31,MAT,1,3,4
32,23,MAT,1,3,5
33,11,MAT,1,3,6
34,34,MAT,1,3,7
35,35,MAT,1,3,8
36,36,MAT,1,3,9
37,37,MAT,1,3,10
38,31,MAT,1,3,11
39,14,MAT,1,3,12
40,10,MAT,1,3,13
41,11,MAT,1,3,14
42,42,MAT,1,3,15
43,42,MAT,1,3,16
44,14,MAT,1,3,17
45,10,MAT,1,3,18
46,11,MAT,1,3,19
47,47,MAT,1,3,20
48,47,MAT,1,4,0
49,14,MAT,1,4,1
50,10,MAT,1,4,2
51,11,MAT,1,4,3
52,52,MAT,1,4,4
53,52,MAT,1,4,5
54,14,MAT,1,4,6
55,10,MAT,1,4,7
56,11,MAT,1,4,8
57,57,MAT,1,4,9
58,57,MAT,1,4,10
59,14,MAT,1,4,11
60,10,MAT,1,4,12
61,11,MAT,1,4,13
62,62,MAT,1,4,14
63,62,MAT,1,5,0
64,14,MAT,1,5,1
65,10,MAT,1,5,2
66,11,MAT,1,5,3
67,67,MAT,1,5,4
68,35,MAT,1,5,5
69,36,MAT,1,5,6
70,70,MAT,1,5,7
71,67,MAT,1,5,8
72,14,MAT,1,5,9
73,10,MAT,1,5,10
74,11,MAT,1,5,11
75,75,MAT,1,5,12
76,35,MAT,1,5,13
77,36,MAT,1,5,14
78,78,MAT,1,5,15
79,75,MAT,1,5,16
80,14,MAT,1,5,17
81,10,MAT,1,5,18
82,11,MAT,1,5,19
83,83,MAT,1,5,20
84,83,MAT,1,6,0
85,14,MAT,1,6,1
86,10,MAT,1,6,2
87,11,MAT,1,6,3
88,6,MAT,1,6,4
89,11,MAT,1,6,5
90,90,MAT,1,6,6
91,6,MAT,1,6,7
92,14,MAT,1,6,8
93,93,MAT,1,6,9
94,94,MAT,1,6,10
95,10,MAT,1,6,11
96,11,MAT,1,6,12
97,97,MAT,1,6,13
98,35,MAT,1,6,14
99,36,MAT,1,6,15
100,100,MAT,1,6,16
101,101,MAT,1,6,17
102,102,MAT,1,7,0
103,14,MAT,1,7,1
104,10,MAT,1,7,2
105,11,MAT,1,7,3
106,106,MAT,1,7,4
107,106,MAT,1,7,5
108,14,MAT,1,7,6
109,10,MAT,1,7,7
110,11,MAT,1,7,8
111,111,MAT,1,7,9
112,111,MAT,1,7,10
113,14,MAT,1,7,11
114,10,MAT,1,7,12
115,11,MAT,1,7,13
116,116,MAT,1,7,14
117,116,MAT,1,8,0
118,14,MAT,1,8,1
119,10,MAT,1,8,2
120,11,MAT,1,8,3
121,121,MAT,1,8,4
122,121,MAT,1,8,5
123,14,MAT,1,8,6
124,10,MAT,1,8,7
125,11,MAT,1,8,8
126,126,MAT,1,8,9
127,126,MAT,1,8,10
128,14,MAT,1,8,11
129,10,MAT,1,8,12
130,11,MAT,1,8,13
131,131,MAT,1,8,14
132,132,MAT,1,9,0
133,14,MAT,1,9,1
134,10,MAT,1,9,2
135,11,MAT,1,9,3
136,136,MAT,1,9,4
137,136,MAT,1,9,5
138,14,MAT,1,9,6
139,10,MAT,1,9,7
140,11,MAT,1,9,8
141,141,MAT,1,9,9
142,141,MAT,1,9,10
143,14,MAT,1,9,11
144,10,MAT,1,9,12
145,11,MAT,1,9,13
146,146,MAT,1,9,14
147,147,MAT,1,10,0
148,14,MAT,1,10,1
149,10,MAT,1,10,2
150,11,MAT,1,10,3
151,151,MAT,1,10,4
152,152,MAT,1,10,5
153,14,MAT,1,10,6
154,10,MAT,1,10,7
155,11,MAT,1,10,8
156,156,MAT,1,10,9
157,156,MAT,1,10,10
158,14,MAT,1,10,11
159,10,MAT,1,10,12
160,11,MAT,1,10,13
161,161,MAT,1,10,14
162,162,MAT,1,11,0
163,14,MAT,1,11,1
164,10,MAT,1,11,2
165,11,MAT,1,11,3
166,166,MAT,1,11,4
167,23,MAT,1,11,5
168,24,MAT,1,11,6
169,25,MAT,1,11,7
170,26,MAT,1,11,8
171,171,MAT,1,11,9
172,36,MAT,1,11,10
173,173,MAT,1,11,11
174,174,MAT,1,11,12
175,175,MAT,1,12,0
176,14,MAT,1,12,1
177,177,MAT,1,12,2
178,178,MAT,1,12,3
179,174,MAT,1,12,4
180,180,MAT,1,12,5
181,10,MAT,1,12,6
182,11,MAT,1,12,7
183,183,MAT,1,12,8
184,183,MAT,1,12,9
185,14,MAT,1,12,10
186,10,MAT,1,12,11
187,11,MAT,1,12,12
188,188,MAT,1,12,13
189,188,MAT,1,13,0
190,14,MAT,1,13,1
191,10,MAT,1,13,2
192,11,MAT,1,13,3
193,193,MAT,1,13,4
194,193,MAT,1,13,5
195,14,MAT,1,13,6
196,10,MAT,1,13,7
197,11,MAT,1,13,8
198,198,MAT,1,13,9
199,198,MAT,1,13,10
200,14,MAT,1,13,11
201,10,MAT,1,13,12
202,11,MAT,1,13,13
203,203,MAT,1,13,14
204,203,MAT,1,14,0
205,14,MAT,1,14,1
206,10,MAT,1,14,2
207,11,MAT,1,14,3
208,208,MAT,1,14,4
209,208,MAT,1,14,5
210,14,MAT,1,14,6
211,10,MAT,1,14,7
212,11,MAT,1,14,8
213,213,MAT,1,14,9
214,213,MAT,1,14,10
215,14,MAT,1,14,11
216,10,MAT,1,14,12
217,11,MAT,1,14,13
218,218,MAT,1,14,14
219,218,MAT,1,15,0
220,14,MAT,1,15,1
221,10,MAT,1,15,2
222,11,MAT,1,15,3
223,223,MAT,1,15,4
224,223,MAT,1,15,5
225,14,MAT,1,15,6
226,10,MAT,1,15,7
227,11,MAT,1,15,8
228,228,MAT,1,15,9
229,228,MAT,1,15,10
230,14,MAT,1,15,11
231,10,MAT,1,15,12
232,11,MAT,1,15,13
233,17,MAT,1,15,14
234,17,MAT,1,16,0
235,14,MAT,1,16,1
236,10,MAT,1,16,2
237,11,MAT,1,16,3
238,238,MAT,1,16,4
239,11,MAT,1,16,5
240,240,MAT,1,16,6
241,241,MAT,1,16,7
242,242,MAT,1,16,8
243,243,MAT,1,16,9
244,244,MAT,1,16,10
245,245,MAT,1,16,11
246,93,MAT,1,16,12
247,247,MAT,1,16,13
248,248,MAT,1,16,14
249,249,MAT,1,17,0
250,250,MAT,1,17,1
251,251,MAT,1,17,2
252,252,MAT,1,17,3
253,253,MAT,1,17,4
254,8,MAT,1,17,5
255,255,MAT,1,17,6
256,6,MAT,1,17,7
257,252,MAT,1,17,8
258,258,MAT,1,17,9
259,23,MAT,1,17,10
260,253,MAT,1,17,11
261,6,MAT,1,17,12
262,255,MAT,1,17,13
263,36,MAT,1,17,14
264,173,MAT,1,17,15
265,174,MAT,1,17,16
266,252,MAT,1,17,17
267,258,MAT,1,17,18
268,23,MAT,1,17,19
269,253,MAT,1,17,20
270,36,MAT,1,17,21
271,173,MAT,1,17,22
272,174,MAT,1,17,23
273,255,MAT,1,17,24
274,100,MAT,1,17,25
275,4,MAT,1,17,26
276,252,MAT,1,17,27
277,258,MAT,1,17,28
278,100,MAT,1,18,0
279,14,MAT,1,18,1
280,3,MAT,1,18,2
281,4,MAT,1,18,3
282,282,MAT,1,18,4
283,283,MAT,1,18,5
284,284,MAT,1,18,6
285,285,MAT,1,18,7
286,286,MAT,1,18,8
287,287,MAT,1,18,9
288,36,MAT,1,18,10
289,289,MAT,1,18,11
290,26,MAT,1,18,12
291,241,MAT,1,18,13
292,292,MAT,1,18,14
293,238,MAT,1,18,15
294,294,MAT,1,18,16
295,282,MAT,1,18,17
296,296,MAT,1,18,18
297,297,MAT,1,18,19
298,298,MAT,1,18,20
299,299,MAT,1,18,21
300,300,MAT,1,18,22
301,301,MAT,1,18,23
302,35,MAT,1,18,24
303,303,MAT,1,18,25
304,304,MAT,1,18,26
305,238,MAT,1,19,0
306,14,MAT,1,19,1
307,93,MAT,1,19,2
308,308,MAT,1,19,3
309,309,MAT,1,19,4
310,310,MAT,1,19,5
311,311,MAT,1,19,6
312,23,MAT,1,19,7
313,313,MAT,1,19,8
314,314,MAT,1,19,9
315,315,MAT,1,19,10
316,316,MAT,1,19,11
317,317,MAT,1,19,12
318,318,MAT,1,19,13
319,319,MAT,1,19,14
320,315,MAT,1,19,15
321,321,MAT,1,20,0
322,14,MAT,1,20,1
323,26,MAT,1,20,2
324,324,MAT,1,20,3
325,325,MAT,1,20,4
326,326,MAT,1,20,5
327,327,MAT,1,20,6
328,328,MAT,1,20,7
329,329,MAT,1,20,8
330,330,MAT,1,20,9
331,331,MAT,1,20,10
332,332,MAT,1,20,11
333,238,MAT,1,20,12
334,334,MAT,1,20,13
335,6,MAT,1,20,14
336,313,MAT,1,20,15
337,337,MAT,1,20,16
338,338,MAT,1,20,17
339,339,MAT,1,20,18
340,177,MAT,1,20,19
341,341,MAT,1,20,20
342,342,MAT,1,20,21
343,343,MAT,1,20,22
344,287,MAT,1,20,23
345,299,MAT,1,20,24
346,346,MAT,1,20,25
347,347,MAT,1,20,26
348,35,MAT,1,20,27
349,303,MAT,1,20,28
350,350,MAT,1,20,29
351,304,MAT,1,20,30
352,352,MAT,1,21,0
353,14,MAT,1,21,1
354,354,MAT,1,21,2
355,23,MAT,1,21,3
356,356,MAT,1,21,4
357,343,MAT,1,21,5
358,358,MAT,1,21,6
359,26,MAT,1,21,7
360,360,MAT,1,21,8
361,361,MAT,1,21,9
362,287,MAT,1,21,10
363,363,MAT,1,21,11
364,11,MAT,1,21,12
365,365,MAT,1,21,13
366,26,MAT,1,21,14
367,253,MAT,1,21,15
368,368,MAT,1,21,16
369,369,MAT,1,21,17
370,370,MAT,1,21,18
371,371,MAT,1,22,0
372,14,MAT,1,22,1
373,373,MAT,1,22,2
374,374,MAT,1,22,3
375,375,MAT,1,22,4
376,376,MAT,1,22,5
377,343,MAT,1,22,6
378,378,MAT,1,22,7
379,379,MAT,1,22,8
380,100,MAT,1,22,9
381,327,MAT,1,22,10
382,382,MAT,1,22,11
383,100,MAT,1,22,12
384,384,MAT,1,22,13
385,385,MAT,1,22,14
386,325,MAT,1,23,0
387,282,MAT,1,23,1
388,388,MAT,1,23,2
389,299,MAT,1,23,3
390,300,MAT,1,23,4
391,391,MAT,1,23,5
392,23,MAT,1,23,6
393,352,MAT,1,23,7
394,354,MAT,1,23,8
395,23,MAT,1,23,9
396,396,MAT,1,23,10
397,343,MAT,1,23,11
398,358,MAT,1,23,12
399,26,MAT,1,23,13
400,400,MAT,1,23,14
401,93,MAT,1,23,15
402,350,MAT,1,23,16
403,403,MAT,1,23,17
404,404,MAT,1,23,18
405,405,MAT,1,23,19
406,93,MAT,1,23,20
407,407,MAT,1,23,21
408,408,MAT,1,24,0
409,14,MAT,1,24,1
410,93,MAT,1,24,2
411,238,MAT,1,24,3
412,253,MAT,1,24,4
413,100,MAT,1,24,5
414,414,MAT,1,24,6
415,415,MAT,1,24,7
416,416,MAT,1,24,8
417,417,MAT,1,24,9
418,331,MAT,1,24,10
419,93,MAT,1,24,11
420,326,MAT,1,24,12
421,327,MAT,1,24,13
422,23,MAT,1,24,14
423,423,MAT,1,24,15
424,177,MAT,1,24,16
425,341,MAT,1,24,17
426,26,MAT,1,24,18
427,23,MAT,1,25,0
428,428,MAT,1,25,1
429,429,MAT,1,25,2
430,315,MAT,1,25,3
431,255,MAT,1,25,4
432,432,MAT,1,25,5
433,433,MAT,1,25,6
434,11,MAT,1,25,7
435,354,MAT,1,25,8
436,309,MAT,1,25,9
437,11,MAT,1,25,10
438,438,MAT,1,25,11
