word,book,chapter,verse,word_index,disputed_betacode_alt
AU)TOU\S,MAT,2,8,2,
EI)S,MAT,2,8,3,
*BHQLEE\M,MAT,2,8,4,
EI)=PEN,MAT,2,8,5,
*POREUQE/NTES,MAT,2,8,6,
A)KRIBW=S,MAT,2,8,7,
E)CETA/SATE,MAT,2,8,8,
PERI\,MAT,2,8,9,
TOU=,MAT,2,8,10,
PAIDI/OU,MAT,2,8,11,
E)PA\N,MAT,2,8,12,
DE\,MAT,2,8,13,
EU(/RHTE,MAT,2,8,14,
A)PAGGEI/LATE/,MAT,2,8,15,
MOI,MAT,2,8,16,
O(/PWS,MAT,2,8,17,
KA)GW\,MAT,2,8,18,
E)LQW\N,MAT,2,8,19,
PROSKUNH/SW,MAT,2,8,20,
AU)TW=|,MAT,2,8,21,
*OI(,MAT,2,9,0,
DE\,MAT,2,9,1,
A)KOU/SANTES,MAT,2,9,2,
TOU=,MAT,2,9,3,
BASILE/WS,MAT,2,9,4,
E)POREU/QHSAN,MAT,2,9,5,
KAI\,MAT,2,9,6,
I)DOU/,MAT,2,9,7,
O(,MAT,2,9,8,
A)STH/R,MAT,2,9,9,
O(\N,MAT,2,9,10,
EI)=DON,MAT,2,9,11,
E)N,MAT,2,9,12,
TH=|,MAT,2,9,13,
A)NATOLH=|,MAT,2,9,14,
PROH=GEN,MAT,2,9,15,
AU)TOU/S,MAT,2,9,16,
E(/WS,MAT,2,9,17,
E)LQW\N,MAT,2,9,18,
E)/STH,MAT,2,9,19,
E)PA/NW,MAT,2,9,20,
OU(=,MAT,2,9,21,
H)=N,MAT,2,9,22,
TO\,MAT,2,9,23,
PAIDI/ON,MAT,2,9,24,
*)IDO/NTES,MAT,2,10,0,
DE\,MAT,2,10,1,
TO\N,MAT,2,10,2,
A)STE/RA,MAT,2,10,3,
E)XA/RHSAN,MAT,2,10,4,
XARA\N,MAT,2,10,5,
MEGA/LHN,MAT,2,10,6,
SFO/DRA,MAT,2,10,7,
*KAI\,MAT,2,11,0,
E)LQO/NTES,MAT,2,11,1,
EI)S,MAT,2,11,2,
TH\N,MAT,2,11,3,
OI)KI/AN,MAT,2,11,4,
EI)=DON,MAT,2,11,5,
TO\,MAT,2,11,6,
PAIDI/ON,MAT,2,11,7,
META\,MAT,2,11,8,
*MARI/AS,MAT,2,11,9,
TH=S,MAT,2,11,10,
MHTRO\S,MAT,2,11,11,
AU)TOU=,MAT,2,11,12,
KAI\,MAT,2,11,13,
PESO/NTES,MAT,2,11,14,
PROSEKU/NHSAN,MAT,2,11,15,
AU)TW=|,MAT,2,11,16,
KAI\,MAT,2,11,17,
A)NOI/CANTES,MAT,2,11,18,
TOU\S,MAT,2,11,19,
QHSAUROU\S,MAT,2,11,20,
AU)TW=N,MAT,2,11,21,
PROSH/NEGKAN,MAT,2,11,22,
AU)TW=|,MAT,2,11,23,
DW=RA,MAT,2,11,24,
XRUSO\N,MAT,2,11,25,
KAI\,MAT,2,11,26,
LI/BANON,MAT,2,11,27,
KAI\,MAT,2,11,28,
SMU/RNAN,MAT,2,11,29,
*KAI\,MAT,2,12,0,
XRHMATISQE/NTES,MAT,2,12,1,
KAT,MAT,2,12,2,
O)/NAR,MAT,2,12,3,
MH\,MAT,2,12,4,
A)NAKA/MYAI,MAT,2,12,5,
PRO\S,MAT,2,12,6,
*(HRW/|DHN,MAT,2,12,7,
DI',MAT,2,12,8,
A)/LLHS,MAT,2,12,9,
O(DOU=,MAT,2,12,10,
A)NEXW/RHSAN,MAT,2,12,11,
EI)S,MAT,2,12,12,
TH\N,MAT,2,12,13,
XW/RAN,MAT,2,12,14,
AU)TW=N,MAT,2,12,15,
*)ANAXWRHSA/NTWN,MAT,2,13,0,
DE\,MAT,2,13,1,
AU)TW=N,MAT,2,13,2,
I)DOU/,MAT,2,13,3,
A)/GGELOS,MAT,2,13,4,
KURI/OU,MAT,2,13,5,
FAI/NETAI,MAT,2,13,6,
KAT,MAT,2,13,7,
O)/NAR,MAT,2,13,8,
TW=|,MAT,2,13,9,
*)IWSH/F,MAT,2,13,10,
LE/GWN,MAT,2,13,11,
*)EGERQEI\S,MAT,2,13,12,
PARA/LABE,MAT,2,13,13,
TO\,MAT,2,13,14,
PAIDI/ON,MAT,2,13,15,
KAI\,MAT,2,13,16,
TH\N,MAT,2,13,17,
MHTE/RA,MAT,2,13,18,
AU)TOU=,MAT,2,13,19,
KAI\,MAT,2,13,20,
FEU=GE,MAT,2,13,21,
EI)S,MAT,2,13,22,
*AI)/GUPTON,MAT,2,13,23,
KAI\,MAT,2,13,24,
I)/SQI,MAT,2,13,25,
E)KEI=,MAT,2,13,26,
E(/WS,MAT,2,13,27,
A)\N,MAT,2,13,28,
EI)/PW,MAT,2,13,29,
SOI/,MAT,2,13,30,
ME/LLEI,MAT,2,13,31,
GA\R,MAT,2,13,32,
*(HRW/|DHS,MAT,2,13,33,
ZHTEI=N,MAT,2,13,34,
TO\,MAT,2,13,35,
PAIDI/ON,MAT,2,13,36,
TOU=,MAT,2,13,37,
A)POLE/SAI,MAT,2,13,38,
AU)TO/,MAT,2,13,39,
*(O,MAT,2,14,0,
DE\,MAT,2,14,1,
E)GERQEI\S,MAT,2,14,2,
PARE/LABEN,MAT,2,14,3,
TO\,MAT,2,14,4,
PAIDI/ON,MAT,2,14,5,
KAI\,MAT,2,14,6,
TH\N,MAT,2,14,7,
MHTE/RA,MAT,2,14,8,
AU)TOU=,MAT,2,14,9,
NUKTO/S,MAT,2,14,10,
KAI\,MAT,2,14,11,
A)NEXW/RHSEN,MAT,2,14,12,
EI)S,MAT,2,14,13,
*AI)/GUPTON,MAT,2,14,14,
KAI\,MAT,2,15,0,
H)=N,MAT,2,15,1,
E)KEI=,MAT,2,15,2,
E(/WS,MAT,2,15,3,
TH=S,MAT,2,15,4,
TELEUTH=S,MAT,2,15,5,
*(HRW/|DOU,MAT,2,15,6,
I(/NA,MAT,2,15,7,
PLHRWQH=|,MAT,2,15,8,
TO\,MAT,2,15,9,
R(HQE\N,MAT,2,15,10,
U(PO\,MAT,2,15,11,
TOU=,MAT,2,15,12,
KURI/OU,MAT,2,15,13,
DIA\,MAT,2,15,14,
TOU=,MAT,2,15,15,
PROFH/TOU,MAT,2,15,16,
LE/GONTOS,MAT,2,15,17,
*)EC,MAT,2,15,18,
*AI)GU/PTOU,MAT,2,15,19,
E)KA/LESA,MAT,2,15,20,
TO\N,MAT,2,15,21,
UI(O/N,MAT,2,15,22,
MOU,MAT,2,15,23,
*TO/TE,MAT,2,16,0,
*(HRW/|DHS,MAT,2,16,1,
I)DW\N,MAT,2,16,2,
O(/TI,MAT,2,16,3,
E)NEPAI/XQH,MAT,2,16,4,
U(PO\,MAT,2,16,5,
TW=N,MAT,2,16,6,
MA/GWN,MAT,2,16,7,
E)QUMW/QH,MAT,2,16,8,
LI/AN,MAT,2,16,9,
KAI\,MAT,2,16,10,
A)POSTEI/LAS,MAT,2,16,11,
A)NEI=LEN,MAT,2,16,12,
