id,source_id,exclusive_word,exclusive_unicode,book,chapter,verse,word_index
147,569.0,,,JOH,8,10,8
148,41832.0,,,JOH,8,10,9
149,508.0,,,JOH,8,10,10
150,31298.0,,,JOH,8,10,11
151,1340.0,,,JOH,8,10,12
152,56274.0,,,JOH,8,10,13
153,4654.0,,,JOH,8,11,1
154,14.0,,,JOH,8,11,2
155,569.0,,,JOH,8,11,3
156,31298.0,,,JOH,8,11,4
157,3528.0,,,JOH,8,11,5
158,7033.0,,,JOH,8,11,6
159,14.0,,,JOH,8,11,7
160,346.0,,,JOH,8,11,8
161,93.0,,,JOH,8,11,9
162,245.0,,,JOH,8,11,10
163,4611.0,,,JOH,8,11,11
164,8633.0,,,JOH,8,11,12
165,1340.0,,,JOH,8,11,13
166,,KATAKRI/NW,κατακρίνω,JOH,8,11,14
167,836.0,,,JOH,8,11,15
168,19452.0,,,JOH,8,11,16
169,53366.0,,,JOH,8,11,17
170,1951.0,,,ACT,24,6,1
171,23.0,,,ACT,24,6,2
172,343.0,,,ACT,24,6,3
173,12461.0,,,ACT,24,6,4
174,81926.0,,,ACT,24,6,5
175,81927.0,,,ACT,24,6,6
176,596.0,,,ACT,24,6,7
177,23.0,,,ACT,24,6,8
178,81930.0,,,ACT,24,6,9
179,23.0,,,ACT,24,6,10
180,773.0,,,ACT,24,6,11
181,11.0,,,ACT,24,6,12
182,,H(ME/TERON,ἡμέτερον,ACT,24,6,13
183,1893.0,,,ACT,24,6,14
184,111978.0,,,ACT,24,6,15
185,125623.0,,,ACT,24,6,16
186,44203.0,,,ACT,24,7,1
187,14.0,,,ACT,24,7,2
188,81666.0,,,ACT,24,7,3
189,93.0,,,ACT,24,7,4
190,63541.0,,,ACT,24,7,5
191,627.0,,,ACT,24,7,6
192,14975.0,,,ACT,24,7,7
193,69161.0,,,ACT,24,7,8
194,35.0,,,ACT,24,7,9
195,368.0,,,ACT,24,7,10
196,1338.0,,,ACT,24,7,11
197,405.0,,,ACT,24,7,12
198,,A)PH/GAGEN,ἀπήγαγεν,ACT,24,7,13
199,8479.0,,,ACT,24,8,1
200,24.0,,,ACT,24,8,2
201,82595.0,,,ACT,24,8,3
202,26.0,,,ACT,24,8,4
203,5908.0,,,ACT,24,8,5
204,171.0,,,ACT,24,8,6
