info_id,book,chapter,verse,word_index,disputed_alt
1.0,MAT,1,1,0,
2.0,MAT,1,1,1,
3.0,MAT,1,1,2,
4.0,MAT,1,1,3,
5.0,MAT,1,1,4,
6.0,MAT,1,1,5,
5.0,MAT,1,1,6,
8.0,MAT,1,1,7,
9.0,MAT,1,2,0,
10.0,MAT,1,2,1,
11.0,MAT,1,2,2,
12.0,MAT,1,2,3,
13.0,MAT,1,2,4,
14.0,MAT,1,2,5,
10.0,MAT,1,2,6,
11.0,MAT,1,2,7,
17.0,MAT,1,2,8,
18.0,MAT,1,2,9,
14.0,MAT,1,2,10,
10.0,MAT,1,2,11,
11.0,MAT,1,2,12,
22.0,MAT,1,2,13,
23.0,MAT,1,2,14,
24.0,MAT,1,2,15,
25.0,MAT,1,2,16,
26.0,MAT,1,2,17,
27.0,MAT,1,3,0,
14.0,MAT,1,3,1,
10.0,MAT,1,3,2,
11.0,MAT,1,3,3,
31.0,MAT,1,3,4,
23.0,MAT,1,3,5,
11.0,MAT,1,3,6,
34.0,MAT,1,3,7,
35.0,MAT,1,3,8,
36.0,MAT,1,3,9,
37.0,MAT,1,3,10,
31.0,MAT,1,3,11,
14.0,MAT,1,3,12,
10.0,MAT,1,3,13,
11.0,MAT,1,3,14,
42.0,MAT,1,3,15,
43.0,MAT,1,3,16,
14.0,MAT,1,3,17,
10.0,MAT,1,3,18,
11.0,MAT,1,3,19,
47.0,MAT,1,3,20,
48.0,MAT,1,4,0,
14.0,MAT,1,4,1,
10.0,MAT,1,4,2,
11.0,MAT,1,4,3,
52.0,MAT,1,4,4,
53.0,MAT,1,4,5,
14.0,MAT,1,4,6,
10.0,MAT,1,4,7,
11.0,MAT,1,4,8,
57.0,MAT,1,4,9,
58.0,MAT,1,4,10,
14.0,MAT,1,4,11,
10.0,MAT,1,4,12,
11.0,MAT,1,4,13,
62.0,MAT,1,4,14,
63.0,MAT,1,5,0,
14.0,MAT,1,5,1,
10.0,MAT,1,5,2,
11.0,MAT,1,5,3,
67.0,MAT,1,5,4,
35.0,MAT,1,5,5,
36.0,MAT,1,5,6,
70.0,MAT,1,5,7,
67.0,MAT,1,5,8,
14.0,MAT,1,5,9,
10.0,MAT,1,5,10,
11.0,MAT,1,5,11,
75.0,MAT,1,5,12,
35.0,MAT,1,5,13,
36.0,MAT,1,5,14,
78.0,MAT,1,5,15,
75.0,MAT,1,5,16,
14.0,MAT,1,5,17,
10.0,MAT,1,5,18,
11.0,MAT,1,5,19,
83.0,MAT,1,5,20,
84.0,MAT,1,6,0,
14.0,MAT,1,6,1,
10.0,MAT,1,6,2,
11.0,MAT,1,6,3,
88.0,MAT,1,6,4,
11.0,MAT,1,6,5,
90.0,MAT,1,6,6,
88.0,MAT,1,6,7,
14.0,MAT,1,6,8,
93.0,MAT,1,6,9,
94.0,MAT,1,6,10,
10.0,MAT,1,6,11,
11.0,MAT,1,6,12,
97.0,MAT,1,6,13,
35.0,MAT,1,6,14,
36.0,MAT,1,6,15,
100.0,MAT,1,6,16,
101.0,MAT,1,6,17,
102.0,MAT,1,7,0,
